Round	Player	Position	Nationality	College/Junior/Club Team
1	Shane Doan	Centre	Canada	Kamloops Blazers ( WHL )
2	Marc Chouinard	Centre	Canada	Beauport Harfangs ( QMJHL )
2	Jason Doig	Defence	Canada	Laval Titan Collège Français (QMJHL)
3	Brad Isbister	Defence	Canada	Portland Winter Hawks (WHL)
4	Justin Kurtz	Defence	Canada	Brandon Wheat Kings (WHL)
5	Brian Elder	Goaltender	Canada	Brandon Wheat Kings (WHL)
6	Sylvain Daigle	Goaltender	Canada	Shawinigan Cataractes (QMJHL)
7	Paul Traynor	Defence	Canada	Kitchener Rangers ( OHL )
8	Jaroslav Obsut	Right Wing	Slovakia	Battlefords North Stars ( SJHL )
8	Fredrik Loven	Defence	Sweden	Djurgardens IF ( SEL )
9	Robert DeCiantis	Centre	Canada	Kitchener Rangers (OHL)
