Rank	Rider	Team	Speed	Time
1	Ewan Hamilton	242cc Suzuki	91.675mph	1:14.04.88
2	Peter Symes	250cc Suzuki	91.453mph	1:14.15.64
3	Jonathan Cutts	246cc Suzuki	90.695mph	1:14.52.91
4	Peter Richardson	248cc Suzuki	89.936mph	1:15.30.82
5	Ian Rycroft	249cc Kawasaki	85.919mph	1:19.02.67
6	Bob Millinship	247cc Ducati	85.311mph	1:19.36.44
7	Alan 'Bud' Jackson	247cc Suzuki	85.523mph	1:20.13.22
8	Bob Simmons	247cc Suzuki	84.482mph	1:20.23.30
9	Mervyn Stratford	247cc Greeves Silverstone	83.984mph	1:20.51.91
10	Andy Wilson	247cc Suzuki	83.634mph	1:21.12.20
