Rider	Horse	Faults	Round 1 + 2A Points	Total
Beezie Madden	Authentic	0	0.000	0.000
Gerco Schröder	Eurocommerce Berlin	0	0.425	0.425
Ludger Beerbaum	L'Espoir	0	2.695	2.695
Jeroen Dubbeldam	BMC Up and Down	0	4.100	4.100
McLain Ward	Sapphire	0	4.865	4.865
Meredith Michaels-Beerbaum	Shutterfly	0	4.920	4.920
Jos Lansink	Cavalor Cumano	0	5.005	5.005
Sergio Alvarez Moya	Le Rève du Nabab	0	5.235	5.235
Niklaus Schurtenberger	Cantus	1	4.635	5.635
Marie Burke	Chippison	0	5.710	5.710
Ludo Philippaerts	Parco	0	6.045	6.045
Albert Zoer	Okidoki	4	2.480	6.480
Christina Liebherr	L.B. No Mercy	0	6.520	6.520
Michael Whitaker	Insul Tech Portofino	1	6.525	7.525
Royne Zetterman	Isaac	1	7.075	8.075
Luciana Diniz	Dover	4	4.160	8.160
Rolf-Göran Bengtsson	Ninja la Silla	0	8.910	8.910
Bernardo Alves	Canturo	8	1.355	9.355
Katharina Offel	Atlanta	1	8.420	9.420
Gregory Wathelet	Loriot	0	9.760	9.760
Geir Gulliksen	Cattani	4	5.840	9.840
Edwina Alexander	Isovlas Pialotta	8	2.235	10.235
Jean-Claude Van Geenberghe	Osta Rugs Tresor	8	2.375	10.375
Hervé Godignon	Obélix	1	9.400	10.400
Samantha McIntosh	Loxley	4	7.015	11.015
Ricardo Jurado	Procasa le Monde	8	3.270	11.270
Eric Lamaze	Hickstead	12	0.390	12.390
Björn Nagel	Pilgrim	5	8.025	13.025
Cassio Rivetti	Olona	8	5.390	13.390
Nick Skelton	Russel	5	8.635	13.635
John Whitaker	Peppermill	5	8.680	13.680
Werner Muff	Plot Blue	4	9.725	13.725
Cameron Hanley	Siec Hippica Kerman	0	14.375	14.375
Jürgen Krackow	Looping	8	6.415	14.415
Beat Mändli	Indigo IX	4	10.780	14.780
Shane Breen	World Cruise	12	3.985	15.985
Christian Ahlmann	Cöster	4	12.000	16.000
Michel Robert	Galet d'Auzay	8	8.080	16.080
Tina Lund	Carola	4	12.610	16.610
Pablo Barrios	Sun God	8	8.905	16.905
Ibrahim Hani Kamal Bisharat	Qwinto	8	9.760	17.760
Laura Kraut	Miss Independent	8	9.975	17.975
Roland Englbrecht	Nip Armani	8	10.220	18.220
Jesus Garmendia Echeverria	Maddock	5	13.335	18.335
Tim Gredley	Omelli	9	10.690	19.690
Juan Carlos García	Loro Piana Albin III	6	14.020	20.020
Margie Engle	Hidden Creek's Quervo Gold	4	16.065	20.065
Max Amaya	Church Road	8	12.790	20.790
Billy Twomey	Luidam	5	16.615	21.615
Laurent Goffinet	Flipper d'Elle HN	12	9.900	21.900
Judy-Ann Melchoir	Grande Dame Z	8	16.310	24.310
Manuel Fernandez Saro	Quin Chin	4	20.465	24.465
Dirk Demeersman	Clinton	8	18.755	26.755
Piet Raymakers	Van Schijndel's Curtis	18	9.045	27.045
Taizo Sugitani	Obelix	21	7.030	28.030
Maria Gretzer	Spender S	12	16.385	28.385
Tony Andre Hansen	Camiro	9	20.245	29.245
Mikael Forsten	BMC's Skybreaker	12	18.435	30.435
Stefan Eder	Cartier PSG	12	18.535	30.535
Giuseppe Rolli	Jericho de la Vie	8	24.910	32.910
Federico Fernandez	Bohemio	16	17.610	33.610
Gunnar Klettenberg	Novesta	14	19.620	33.620
Álvaro Alfonso de Miranda Neto	Nike	21	13.235	34.235
Antonis Petris	Gredo la Daviere	16	19.300	35.300
Vladimir Beletskiy	Rezonanz	9	28.725	37.725
Syed Omar Almohdzar	Lui	18	19.820	37.820
Alberto Michan	Chinobampo Lavita	13	25.330	38.330
Jiri Papousek	La Manche T	17	21.440	38.440
Sebastian Numminen	Sails Away	20	18.455	38.455
Antonio Portela Carneiro	Echo de Lessay	13	26.565	39.565
H.H. Prince Faisal Al-Shalan	Uthago	17	28.205	45.205
Karim El-Zoghby	Baragway	9	37.360	46.360
Jose Larocca	Svante	17	33.190	50.190
Kamal Bahamdan	Campus	21	30.190	51.190
Yuko Itakura	Portvliet	33	21.655	54.655
Emmanouela Athanassiades	Rimini Z	14	42.380	56.380
Roger Hessen	Quito	19	40.410	59.410
Mohammed Al-Kumaiti	Al-Mutawakel	34	29.490	63.490
Rene Lopez	Isky	27	41.675	68.675
Zdenek Zila	Pinot Grigio	Eliminated	Eliminated	41.035
Marcus Ehning	Noltes Küchengirl	Retired	Retired	7.540
Fabrice Lyon	Jasmine du Perron	Retired	Retired	23.760
Hanno Ellermann	Poncorde	Retired	Retired	25.600
