Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	67	1:29:42.724	1
Juan Pablo Montoya	Williams - BMW	67	+4.127	3
David Coulthard	McLaren - Mercedes	67	+24.993	5
Ralf Schumacher	Williams - BMW	67	+33.345	2
Rubens Barrichello	Ferrari	67	+45.495	4
Mika Häkkinen	McLaren - Mercedes	67	+1:04.868	6
Eddie Irvine	Jaguar - Cosworth	67	+1:06.198	12
Pedro de la Rosa	Jaguar - Cosworth	66	+1 Lap	16
Jacques Villeneuve	BAR - Honda	66	+1 Lap	11
Kimi Räikkönen	Sauber - Petronas	66	+1 Lap	9
Giancarlo Fisichella	Benetton - Renault	66	+1 Lap	15
Luciano Burti	Prost - Acer	65	+2 Laps	17
Jenson Button	Benetton - Renault	65	+2 Laps	20
Fernando Alonso	Minardi - European	65	+2 Laps	21
Jean Alesi	Prost - Acer	64	Spun off	14
Jos Verstappen	Arrows - Asiatech	58	Engine	19
Nick Heidfeld	Sauber - Petronas	54	Driveshaft	10
Heinz-Harald Frentzen	Jordan - Honda	48	Spun off	8
Jarno Trulli	Jordan - Honda	44	Transmission	7
Enrique Bernoldi	Arrows - Asiatech	29	Gearbox	18
Olivier Panis	BAR - Honda	23	Electrical	13
Tarso Marques	Minardi - European	7	Electrical	22
