Date	Visitor	Score	Home	Decision	Attendance	Record
November 1	Atlanta	4 – 6	Ottawa	Pavelec	18,538	4–9–0
November 3	Atlanta	6 – 4	Tampa Bay	Pavelec	19,155	5–9–0
November 6	Washington	1 – 2	Atlanta	Pavelec	15,530	6–9–0
November 9	Atlanta	4 – 1	Florida	Pavelec	14,268	7–9–0
November 10	Carolina	5 – 3	Atlanta	Pavelec	18,545	7–10–0
November 13	Florida	2 – 3	Atlanta	Hedberg	12,599	8–10–0
November 16	Atlanta	3 – 0	Carolina	Hedberg	14,632	9–10–0
November 19	Tampa Bay	3 – 4	Atlanta	Hedberg	13,419	10–10–0
November 21	Atlanta	5 – 1	Washington	Hedberg	11,669	11–10–0
November 23	New Jersey	3 – 0	Atlanta	Hedberg	18,545	11–11–0
November 24	Atlanta	0 – 5	Pittsburgh	Pavelec	17,132	11–12–0
November 29	Toronto	4 – 2	Atlanta	Hedberg	14,031	11–13–0
