Rank	Company	Headquarters	Industry	Sales (billion $)	Profits (billion $)	Assets (billion $)	Market Value (billion $)
01	JPMorgan Chase	USA	Banking	115.5	17.4	2,117.6	182.2
02	HSBC	UK	Banking	103.3	13.3	2,467.9	186.5
03	General Electric	USA	Conglomerate	156.2	11.6	751.2	216.2
04	ExxonMobil	USA	Oil and gas	341.6	30.5	302.5	407.2
05	Royal Dutch Shell	Netherlands	Oil and gas	369.1	20.1	317.2	212.9
06	PetroChina	China	Oil and gas	222.3	21.2	251.3	320.8
07	Industrial and Commercial Bank of China	China	Banking	69.2	18.8	1,723.5	239.5
08	Berkshire Hathaway	USA	Conglomerate	136.2	13	372.2	211
08	Petrobras	Brazil	Oil and gas	121.3	21.2	313.2	238.8
10	Citigroup	USA	Banking	111.5	10.6	1,913.9	132.8
11	BNP Paribas	France	Banking	130.4	10.5	2,680.7	88
11	Wells Fargo	USA	Banking	93.2	12.4	1,258.1	170.6
13	Santander Group	Spain	Banking	109.7	12.8	1,570.6	94.7
14	AT&T Inc.	USA	Telecommunications	124.3	19.9	268.5	168.2
15	Gazprom	Russia	Oil and gas	98.7	25.7	275.9	172.9
16	Chevron	USA	Oil and gas	189.6	19	184.8	200.6
17	China Construction Bank	China	Banking	58.2	15.6	1,408	224.8
18	Walmart	USA	Retailing	421.8	16.4	180.7	187.3
19	Total	France	Oil and gas	188.1	14.2	192.8	138
20	Allianz	Germany	Insurance	142.9	6.7	838.4	62.7
