District	Incumbent	Party	First elected	Result	Candidates
Ohio 5	Richard Mott	Republican	1854	Retired Republican hold	James M. Ashley (R) 51.3% William Mungen (D) 48.7%
Ohio 7	Aaron Harlan	Republican	1852	Lost renomination Republican hold	Thomas Corwin (R) 63.8% Charles W. Blair (D) 36.2%
Ohio 9	Lawrence W. Hall	Democratic	1856	Lost re-election Republican gain	John Carey (R) 50.3% Lawrence W. Hall (R) 49.7%
Ohio 10	Joseph Miller	Democratic	1856	Lost re-election Republican gain	Carey A. Trimble (R) 55.0% Joseph Miller (D) 45.0%
Ohio 12	Samuel S. Cox	Democratic	1856	Re-elected	Samuel S. Cox (R) 51.8% Lucius Case (D) 48.2%
Ohio 13	John Sherman	Republican	1854	Re-elected	John Sherman (R) 57.1% S. J. Patrick (D) 42.9%
Ohio 14	Philemon Bliss	Republican	1854	Retired Republican hold	Cyrus Spink (R) 56.3% J. P. Jeffries (D) 43.7%
Ohio 15	Joseph Burns	Democratic	1856	Lost re-election Republican gain	William Helmick (R) 50.7% Joseph Burns (D) 49.3%
Ohio 18	Benjamin F. Leiter	Republican	1854	Retired Republican hold	Sidney Edgerton (R) 53.3% J. L. Ranney (D) 46.7%
Ohio 19	Edward Wade	Republican	1852	Re-elected	Edward Wade (R) 65.1% J. W. Gray (D) 34.9%
Ohio 20	Joshua Reed Giddings	Republican	1842	Lost renomination Republican Hold	John Hutchins (R) 64.7% David Tod (D) 35.3%
