Week 1	Week 2	Week 3	Week 4	Week 5
Chelse Medley	Erica Jackson	Cassie Keller*	Brandi Corbin	[Month Ended]
Krystle Lina	Carlie Christine*	Kelsi Nicole	Danielle Fornarelli	[Month Ended]
Ryan Lovette	Brittany Retkofsky	Jamie Graham*	Alli Grove	Marie Morgan
Netty Maj*	Ashleigh Evelyn	Candice Hunnicutt	Brandy Brenner	[Month Ended]
Christina Kraft	Hillary Fisher*	Felicia Gomez	Markesa Yeager	[Month Ended]
Kaki West	Heather Jo Hughes	Anna Lynn	Jessa Lynn*	Jackie O'Neil
Robyn Marie Wilson	Tess Taylor Arlington **	Brooke Erickson	Koa-Marie Turner	[Month Ended]
Anne-Krystel Goyer	Summer Lena	Victoria Ivanova*	Katie Cannon	Mia Alstadt
Erin Leigh	Beth Williams*	Silke Hornung	Kristin Dishner	[Month Ended]
Kristen Lynn Gorano	Addison Miller	Jennie Reid*	Mariela Henderson	[Month Ended]
Daniella Mugnolo	Melissa Dawn Taylor	Kat Kohls	Anastasia Christen	Misty Rhodes*
Amanda Hagen	Destiny Moody	Sara Liz	Brittany Leigh *	[Month Ended]
