Week	Date	Opponent	Game Site	Final Score	Record	Attendance
1	September 6, 1992	Los Angeles Rams	Rich Stadium	W 40–7	1–0	79,001
2	September 13, 1992	at San Francisco 49ers	Candlestick Park	W 34–31	2–0	64,053
3	September 20, 1992	Indianapolis Colts	Rich Stadium	W 38–0	3–0	77,781
4	September 27, 1992	at New England Patriots	Foxboro Stadium	W 41–7	4–0	52,527
5	October 4, 1992	Miami Dolphins	Rich Stadium	L 37–10	4–1	80,368
6	October 11, 1992	at Los Angeles Raiders	Los Angeles Memorial Coliseum	L 20–3	4–2	52,287
7	Bye	Bye	Bye	Bye	Bye	Bye
8	October 26, 1992	at New York Jets	The Meadowlands	W 24–20	5–2	68,181
9	November 1, 1992	New England Patriots	Rich Stadium	W 16–7	6–2	78,268
10	November 8, 1992	Pittsburgh Steelers	Rich Stadium	W 28–20	7–2	80,294
11	November 16, 1992	at Miami Dolphins	Joe Robbie Stadium	W 26–20	8–2	70,629
12	November 22, 1992	Atlanta Falcons	Rich Stadium	W 41–14	9–2	80,004
13	November 29, 1992	at Indianapolis Colts	Hoosier Dome	L 16–13	9–3	50,221
14	December 6, 1992	New York Jets	Rich Stadium	L 24–17	9–4	75,876
15	December 12, 1992	Denver Broncos	Rich Stadium	W 27–17	10–4	71,740
16	December 20, 1992	at New Orleans Saints	Louisiana Superdome	W 20–16	11–4	68,591
17	December 27, 1992	at Houston Oilers	Houston Astrodome	L 27–3	11–5	61,742
