Week	Date	Opponent	Result	TV Time	Attendance
1	September 11, 2004	Tennessee Titans	L 17–7	CBS 1:00pm	69,987
2	September 19, 2004	at Cincinnati Bengals	L 16–13	ESPN 8:30pm	65,705
3	September 26, 2004	Pittsburgh Steelers	L 13–3	CBS 1:00pm	72,225
4	October 3, 2004	New York Jets	L 17–9	CBS 4:00pm	73,157
5	October 10, 2004	at New England Patriots	L 24–10	CBS 1:00pm	68,756
6	October 17, 2004	at Buffalo Bills	L 20–13	CBS 1:00pm	72,714
7	October 24, 2004	St. Louis Rams	W 31–14	FOX 1:00pm	72,945
8	November 1, 2004	at New York Jets	L 41–14	ABC 9:00pm	78,216
9	November 7, 2004	Arizona Cardinals	L 24–23	FOX 1:00pm	72,612
10	Bye	Bye	Bye	Bye	Bye
11	November 21, 2004	at Seattle Seahawks	L 24–17	CBS 4:00pm	66,644
12	November 28, 2004	at San Francisco 49ers	W 24–17	CBS 4:00pm	66,156
13	December 5, 2004	Buffalo Bills	L 42–32	CBS 1:00pm	73,084
14	December 12, 2004	at Denver Broncos	L 20–17	CBS 4:00pm	75,027
15	December 20, 2004	New England Patriots	W 29–28	ABC 9:00pm	73,629
16	December 26, 2004	Cleveland Browns	W 10–7	ESPN 8:30pm	73,169
17	January 2, 2005	at Baltimore Ravens	L 30–23	CBS 1:00pm	69,843
