Date	Visitor	Score	Home	Decision	Attendance	Record
December 2	Atlanta	2 – 3	New Jersey	Brodeur	14,978	14–10–2
December 5	Boston	3 – 4	New Jersey	Brodeur	14,012	15–10–2
December 7	Washington	2 – 3	New Jersey	Brodeur	16,265	16–10–2
December 9	New Jersey	0 – 1	NY Rangers	Brodeur	18,200	16–10–3
December 10	New Jersey	2 – 3	Washington	Weekes	10,719	16–11–3
December 13	New Jersey	3 – 1	Boston	Brodeur	12,064	17–11–3
December 15	Phoenix	4 – 1	New Jersey	Brodeur	16,636	17–12–3
December 16	Philadelphia	2 – 4	New Jersey	Brodeur	16,687	18–12–3
December 18	New Jersey	0 – 5	Vancouver	Brodeur	18,630	18–13–3
December 21	New Jersey	3 – 1	Edmonton	Brodeur	16,839	19–13–3
December 23	New Jersey	1 – 0	Calgary	Brodeur	19,289	20–13–3
December 28	Buffalo	1 – 2	New Jersey	Brodeur	17,625	21–13–3
December 29	New Jersey	2 – 5	NY Islanders	Brodeur	16,234	21–14–3
