Name	Career	Caps	Goals	First Cap	Recent Cap
Ivan Vicelich	1995–	87	6	vs. [[|]] 25 June 1995	vs. [[|]] 09 September 2013
Simon Elliott	1995–2011	69	6	vs. [[|]] 21 February 1995	vs. [[|]] 1 June 2011
Vaughan Coveny	1992–2006	64	28	vs. [[|]] 7 June 1992	vs. [[|]] 4 June 2006
Ricki Herbert	1980–1989	61	7	vs. [[|]] 20 August 1980	vs. [[|]] 9 April 1989
Chris Jackson	1995–2003	60	10	vs. [[|]] 21 February 1995	vs. [[|]] 22 June 2003
Brian Turner	1967–1982	59	21	vs. Australia 5 November 1967	vs. [[|]] 23 June 1982
Duncan Cole	1978–1988	58	4	vs. [[|]] 1 October 1978	vs. [[|]] 27 March 1988
Steve Sumner	1976–1988	58	22	vs. Burma 13 September 1976	vs. [[|]] 23 June 1988
Chris Zoricich	1988–2003	57	1	vs. [[|]] 23 March 1988	vs. [[|]] 22 June 2003
Ceri Evans	1980–1993	56	2	vs. [[|]] 16 October 1980	vs. Australia 6 June 1993
Michael McGarry	1986–1997	54	12	vs. [[|]] 17 September 1986	vs. Australia 6 July 1997
Leo Bertos	2003–	54	0	vs. [[|]] 13 October 2003	vs. [[|]] 15 October 2013
Adrian Elrick	1975–1984	53	1	vs. China PR 26 July 1975	vs. [[|]] 24 April 1984
