University Name	Acronym	Date founded	Website	Official registration notes
Université Sainte Famille	USF	2000	usf.edu.lb	Yes
American University of Culture & Education	AUCE	2000	auce.edu.lb	Yes
American University of Beirut	AUB	1866	aub.edu.lb	Yes
Lebanese University	UL	1951	ul.edu.lb	Yes
Université Saint-Joseph	USJ	1875	usj.edu.lb	Yes
University of Balamand	UoB	1988	balamand.edu.lb	Yes
Université La Sagesse	ULS	1875	uls.edu.lb	Yes
Haigazian University	HU	1955	haigazian.edu.lb	Yes
American University of Technology	AUT	1998	aut.edu	Yes
Beirut Arab University	BAU	1960	bau.edu.lb	Yes
Université Saint-Esprit de Kaslik	USEK	1961	usek.edu.lb	Yes
Notre Dame University - Louaize	NDU	1987	ndu.edu.lb	Yes
Académie Libanaise des Beaux-Arts 1	ALBA1	1937	alba.edu	Yes1
Arab Open University	AOU	2002	aou.edu.lb	Yes
American University of Science and Technology	AUST	1994	aust.edu.lb	Yes
Antonine University	UPA	1996	upa.edu.lb	Yes
Lebanese German University	LGU	2008	lgu.edu.lb	Yes
Lebanese International University	LIU	2001	liu.edu.lb	Yes
Hariri Canadian University	HCU	2006	hcu.edu.lb	Yes
Lebanese Canadian University	LCU	2003	lcu.edu.lb	Yes
Beirut Islamic University	BIU	1982	biu.edu.lb	Yes
Global University	GU	1992	gu.edu.lb	Yes
Islamic University of Lebanon	IUL	1996	iul.edu.lb	Yes
Al-Kafaàt University	AKU	1999	aku.edu.lb	Yes
Jinan University of Lebanon	JUL	1988	jinan.edu.lb	Yes
Manar University of Tripoli	MUT	1990	mut.edu.lb	Yes
Lebanese American University	LAU	1924	lau.edu.lb	Yes
Modern University for Business and Science	MUBS	2000	mubs.edu.lb	Yes
Makassed University of Beirut	MU	1986	almakassed.edu.lb	Yes
Middle East University	MEU	1939	meu.edu.lb	Yes
University Of Tripoli	UT	1986	ut.edu.lb	Yes
