Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Ystrad Rhondda RFC	22	19	0	3	672	280	81	34	9	2	87
Penallta RFC	22	17	0	5	499	312	73	40	10	2	80
Mountain Ash RFC	22	16	0	6	486	270	60	29	8	4	76
Tredegar RFC	22	13	0	9	521	327	69	41	10	4	66
Builth Wells RFC	22	13	0	9	517	297	66	37	10	3	65
Treherbert RFC	22	14	0	8	445	406	57	45	5	2	63
Abercynon RFC	22	12	0	10	535	476	71	64	9	2	59
Ynysybwl RFC	22	10	0	12	476	389	67	47	6	4	50
Rhydyfelin RFC	22	9	0	13	385	426	51	53	5	6	47
Newport HSOB RFC	22	5	0	17	380	710	53	99	5	5	30
Llanishen RFC	22	4	0	18	300	632	35	92	3	3	22
Pill Harriers RFC	22	0	0	22	208	899	33	135	1	3	5
