Series #	Season #	Title	Director	Writer(s)	Airdate
541	2	" Phoenix "	Paul Stanley Category:Articles with hCards	Anthony Lawrence Category:Articles with hCards	September 20, 1971
542	3	" Waste " – Part 1	Vincent McEveety Category:Articles with hCards	Jim Byrnes Category:Articles with hCards	September 27, 1971
543	4	" Waste " – Part 2	Vincent McEveety Category:Articles with hCards	Jim Byrnes Category:Articles with hCards	October 4, 1971
544	5	" New Doctor in Town "	Philip Leacock Category:Articles with hCards	Jack Miller Category:Articles with hCards	October 11, 1971
545	6	" The Legend "	Philip Leacock Category:Articles with hCards	Calvin Clements, Jr. Category:Articles with hCards	October 18, 1971
546	7	" Trafton "	Bernard McEveety Category:Articles with hCards	Ron Bishop Category:Articles with hCards	October 25, 1971
547	8	" Lynott "	Gunnar Hellstrom Category:Articles with hCards	Ron Bishop Category:Articles with hCards	November 1, 1971
548	9	" Lijah "	Irving J. Moore Category:Articles with hCards	William Blinn Category:Articles with hCards	November 8, 1971
549	10	" My Brother's Keeper "	Paul Stanley Category:Articles with hCards	Arthur Dales Category:Articles with hCards	November 15, 1971
550	11	" Drago "	Paul Stanley Category:Articles with hCards	Jim Byrnes Category:Articles with hCards	November 22, 1971
551	12	" Gold Train: The Bullet " – Part 1	Bernard McEveety Category:Articles with hCards	Jim Byrnes Category:Articles with hCards	November 29, 1971
552	13	" Gold Train: The Bullet " – Part 2	Bernard McEveety Category:Articles with hCards	Jim Byrnes Category:Articles with hCards	December 6, 1971
553	14	" Gold Train: The Bullet " – Part 3	Bernard McEveety Category:Articles with hCards	Jim Byrnes Category:Articles with hCards	December 13, 1971
554	15	" P.S. Murry Christmas "	Herb Wallerstein Category:Articles with hCards	William Kelley Category:Articles with hCards	December 27, 1971
555	16	" No Tomorrow "	Irving J. Moore Category:Articles with hCards	Richard Fielder Category:Articles with hCards	January 3, 1972
556	17	" Hidalgo "	Paul Stanley Category:Articles with hCards	Colley Cibber Category:Articles with hCards	January 10, 1972
557	18	" Tara "	Bernard McEveety Category:Articles with hCards	William Kelley Category:Articles with hCards	January 17, 1972
558	19	" One for the Road "	Bernard McEveety Category:Articles with hCards	Jack Miller Category:Articles with hCards	January 24, 1972
559	20	" The Predators "	Bernard McEveety Category:Articles with hCards	Calvin Clements, Sr. Category:Articles with hCards	January 31, 1972
560	21	" Yankton "	Vincent McEveety Category:Articles with hCards	Jim Byrnes Category:Articles with hCards	February 7, 1972
561	22	" Blind Man's Buff "	Herb Wallerstein Category:Articles with hCards	Ron Honthaner Category:Articles with hCards	February 21, 1972
562	23	" Alias Festus Haggin "	Vincent McEveety Category:Articles with hCards	Calvin Clements. Category:Articles with hCards	March 6, 1972
