Club	Played	Drawn	Lost	Points for	Points against	Points difference	Points
Club	Played	Drawn	Lost	Points for	Points against	Points difference	Points
Newport RFC	30	1	2	1054	550	+504	82
Neath RFC	30	1	6	947	557	+390	70
Pontypridd RFC	30	2	8	820	641	+179	62
Aberavon RFC	30	0	13	774	627	+147	51
Carmarthen Quins RFC	30	1	13	674	629	+45	49
Swansea RFC	30	0	14	853	710	+143	48
Bridgend Ravens	30	1	15	757	767	-10	43
Cross Keys RFC	30	0	17	753	777	-24	39
Bedwas RFC	30	2	16	644	797	-153	38
Caerphilly RFC	30	1	18	658	918	-260	34
Pontypool RFC	30	0	18	543	698	-155	34
Cardiff RFC	30	0	19	649	797	-148	33
Newbridge RFC	30	3	17	585	803	-218	33
Llanelli RFC	30	2	18	701	765	-64	32
Llandovery RFC	30	2	18	681	787	-106	32
Ebbw Vale RFC	30	1	19	554	822	-268	31
Correct as of 2004-06-10	Correct as of 2004-06-10	Correct as of 2004-06-10	Correct as of 2004-06-10	Correct as of 2004-06-10	Correct as of 2004-06-10	Correct as of 2004-06-10	Correct as of 2004-06-10
