Rank	Country	Jerseys	Giro wins	Points	Young rider	Most recent cyclist	Most recent date	Different holders
1	Italy	1163	67	29	13	Vincenzo Nibali	2013 , stage 20	152
2	Belgium	158	7	5	0	Rik Verbrugghe	2001 , stage 3	17
3	Spain	125	3	2	0	Beñat Intxausti	2013 , stage 7	16
4	France	118	6	1	1	Laurent Jalabert	1999 , stage 13	16
5	Switzerland	65	3	2	0	Alex Zülle	1998 , stage 16	6
6	Russia	49	3	1	5	Denis Menchov	2009 , stage 21	3
7	Germany	21	0	0	0	Olaf Pollack	2006 , stage 6	6
8	Luxembourg	20	2	0	1	Charly Gaul	1959 , stage 22	1
9	Ireland	18	1	0	0	Stephen Roche	1987 , stage 22	1
10	Netherlands	17	0	3	0	Pieter Weening	2011 , stage 8	6
11	United States	12	1	0	0	Taylor Phinney	2012 , stage 3	3
12	Australia	9	0	0	0	Richie Porte	2010 , stage 13	5
13=	Ukraine	7	0	0	0	Sergei Honchar	2006 , stage 7	2
13=	United Kingdom	7	0	1	0	Mark Cavendish	2013 , stage 1	3
15=	Sweden	5	1	0	1	Thomas Lövkvist	2009 , stage 4	3
15=	Kazakhstan	5	0	0	0	Alexander Vinokourov	2010 , stage 9	1
17	Canada	5	1	0	0	Ryder Hesjedal	2012 , stage 21	1
18	Norway	3	0	0	0	Knud Knudsen	1981 , Prologue	1
19=	Portugal	2	0	0	0	Acacio Da Silva	1989 , stage 9	1
19=	Lithuania	2	0	0	0	Ramūnas Navardauskas	2012 , stage 5	1
21	Czech Republic	1	0	0	1	Jan Hruška	2000 , Prologue	1
22=	Colombia	0	0	0	1	–	–	0
22=	Uzbekistan	0	0	1	0	–	–	0
22=	Mexico	0	0	0	0	–	–	0
22=	Venezuela	0	0	0	0	–	–	0
