Round	Pick	Overall	Name	Position	College
1	8	8	Mike Micka	FB	Colgate
3	7	23	Earl Audet	OT	Southern California
5	7	39	Ed Doherty	RB	Boston College
6	7	50	Jackie Fellows	RB	Fresno State
7	7	61	Hal Fischer	G	Texas
8	7	72	Cliff White	OT	Murray State
9	7	83	Ted Ogdahl	RB	Willamette
10	7	94	Bob Sneddon	DB	St. Mary's (Cal.) [t ]
11	7	105	Bill Aldworth	OT	Minnesota
12	7	116	Bill Joslyn	RB	Stanford
13	7	127	Charley Walker	C	Kentucky
14	7	138	Boyd Clement	C	Oregon State
15	7	149	Jim Gaffney	QB	Tennessee
16	7	160	Ted Ossowski	OT	Oregon State
17	7	171	Tom Davis	RB	Duke
18	7	182	John Batorski	E	Colgate
19	7	193	Clyde Ehrhardt	C	Georgia
20	7	204	Dave Brown	E	UCLA
21	7	215	Bill Ivy	OT	Northwestern
22	7	226	Bruce Babcock	RB	Rochester
23	7	237	Bill Reinhard	DB	California
24	7	248	Ed Bauer	G	South Carolina
25	7	259	Smokey Martin	RB	Cornell
26	7	270	Lee Gustafson	RB	Oregon State
27	7	281	Nick Pappas	OT	Utah
28	7	292	Lindsey Bowen	E	Rice
29	7	303	Bill Gustafson	OT	Washington State
30	7	314	Bill Yablonski	C	Holy Cross
31	2	320	Buster Hollingbery	C	Washington State
32	2	326	Willard Sheller	RB	Stanford
