Date	Visitor	Score	Home	Record
January 3	New Jersey	1 – 0	Colorado	22–12–5
January 4	Philadelphia	2 – 2	Colorado	22–12–6
January 6	Colorado	2 – 5	Toronto	22–13–6
January 9	Colorado	3 – 0	Boston	23–13–6
January 10	Florida	4 – 4	Colorado	23–13–7
January 14	Calgary	4 – 4	Colorado	23–13–8
January 16	Colorado	5 – 2	Pittsburgh	24–13–8
January 17	Colorado	2 – 3	Detroit	24–14–8
January 22	NY Islanders	3 – 4	Colorado	25–14–8
January 25	Vancouver	2 – 2	Colorado	25–14–9
January 27	Colorado	4 – 3	San Jose	26–14–9
January 31	Colorado	1 – 2	Anaheim	26–15–9
