Game	Date	Set 1	Set 2	Set 3	Set 4	Set 5	Result (sets)	Result (Pts)
2	May 4, 2004	25-17	25-22	25-20	NA	NA	3 - 0	75 - 59
3	May 4, 2004	21-25	17-25	25-23	29-31	NA	1 - 3	92 - 104
7	May 5, 2004	25-20	23-25	25-21	15-25	18-16	3 - 2	106 - 107
10	May 6, 2004	25-19	26-28	25-22	25-20	NA	3 - 1	101 - 89
14	June 11, 2004	26-28	25-20	22-25	25-19	14-16	2 - 3	112 - 108
15	June 11, 2004	27-29	25-23	25-23	19-25	13-15	2 - 3	109 - 115
20	June 12, 2004	25-17	25-20	25-19	NA	NA	3 - 0	75 - 56
23	June 13, 2004	25-19	25-23	25-14	NA	NA	3 - 0	75 - 56
25	June 18, 2004	25-17	25-22	15-25	25-15	NA	3 - 1	90 - 79
27	June 18, 2004	41633	21-25	23-25	21-25	NA	1 - 3	106 - 108
32	June 19, 2004	25-22	26-24	25-19	NA	NA	3 - 0	76 - 65
33	June 19, 2004	26-28	15-25	15-25	NA	NA	0 - 3	56 - 78
37	June 25, 2004	25-21	30-32	25-17	24-26	08-15	2 - 3	112 - 111
39	June 25, 2004	25-23	21-25	25-21	25-23	NA	3 - 1	96 - 92
43	June 26, 2004	21-25	25-23	25-20	25-21	NA	3 - 1	96 - 89
47	June 27, 2004	25-22	20-25	17-25	19-25	NA	1 - 3	81 - 97
51	June 2, 2004	25-17	16-25	25-21	19-25	08-15	2 - 3	93 - 103
53	June 3, 2004	25-27	27-25	20-25	25-20	11-15	2 - 3	108 - 112
56	June 3, 2004	21-25	19-25	20-25	NA	NA	0 - 3	60 - 75
59	June 4, 2004	20-25	23-25	20-25	NA	NA	0 - 3	63 - 75
62	July 9, 2004	25-22	25-19	20-25	25-22	NA	3 - 1	95 - 88
66	July 10, 2004	26-24	25-17	23-25	25-20	NA	3 - 1	99 - 86
68	July 10, 2004	25-18	25-23	25-18	NA	NA	3 - 0	75 - 59
70	July 11, 2004	25-20	25-16	25-18	NA	NA	3 - 0	75 - 54
