Date	Venue	Score	Competition	Report
21 August	Hampden Park , Glasgow (H)	0–1	Friendly	BBC Sport
7 September	Svangaskarð , Toftir (A)	2–2	ECQG5	BBC Sport
12 October	Laugardalsvollur , Reykjavík (A)	2–0	ECQG5	BBC Sport
15 October	Easter Road , Edinburgh (H)	3–1	Friendly	BBC Sport
20 November	Estadio Primeiro de Maio , Braga (A)	0–2	Friendly	BBC Sport
12 February	Hampden Park , Glasgow (H)	0–2	Friendly	BBC Sport
29 March	Hampden Park , Glasgow (H)	2–1	ECQG5	BBC Sport
2 April	S Dariaus ir S.Gireno SC , Kaunas (A)	0–1	ECQG5	BBC Sport
30 April	Hampden Park , Glasgow (H)	0–2	Friendly	BBC Sport
27 May	Tynecastle Stadium , Edinburgh (H)	1–1	Friendly	BBC Sport
7 June	Hampden Park , Glasgow (H)	1–1	ECQG5	BBC Sport
