Week	Date	Opponent	Result	Attendance
1	September 10, 1989	San Diego Chargers	W 40–14	40,237
2	September 17, 1989	at Kansas City Chiefs	L 24–19	71,741
3	September 24, 1989	at Denver Broncos	L 31–21	75,754
4	October 1, 1989	Seattle Seahawks	L 24–20	44,319
5	October 9, 1989	at New York Jets	W 14–7	68,040
6	October 15, 1989	Kansas City Chiefs	W 20–14	40,453
7	October 22, 1989	at Philadelphia Eagles	L 10–7	64,019
8	October 29, 1989	Washington Redskins	W 37–24	52,781
9	November 5, 1989	Cincinnati Bengals	W 28–7	51,080
10	November 12, 1989	at San Diego Chargers	L 14–12	59,151
11	November 19, 1989	at Houston Oilers	L 23–7	59,198
12	November 26, 1989	New England Patriots	W 24–21	38,747
13	December 3, 1989	Denver Broncos	W 16–13	87,560
14	December 10, 1989	Phoenix Cardinals	W 16–14	41,785
15	December 17, 1989	at Seattle Seahawks	L 23–17	61,076
16	December 24, 1989	at New York Giants	L 34–17	70,306
