Season	Winner	Runner Up	Third Place	Top scorer	Goals
1956–57	Ajax	Fortuna '54	SC Enschede	Coen Dillen Category:Articles with hCards	43
1957–58	D.O.S.	SC Enschede	Ajax	Leo Canjels Category:Articles with hCards	32
1958–59	Sparta Rotterdam	Rapid JC	Fortuna '54	Leo Canjels Category:Articles with hCards	34
1959–60	Ajax	Feyenoord	Blauw-Wit	Henk Groot Category:Articles with hCards	38
1960-61	Feyenoord	Ajax	VVV	Henk Groot Category:Articles with hCards	41
1961-62	Feyenoord	PSV Eindhoven	Blauw-Wit	Dick Tol Category:Articles with hCards	27
1962-63	PSV Eindhoven	Ajax	Sparta Rotterdam	Pierre Kerkhofs Category:Articles with hCards	22
1963–64	Door Wilskracht Sterk	PSV	SC Enschede	Frans Geurtsen Category:Articles with hCards	28
1964–65	Feyenoord	Door Wilskracht Sterk	ADO Den Haag	Frans Geurtsen Category:Articles with hCards	23
1966–67	Ajax	Feyenoord	Sparta Rotterdam	Johan Cruijff Category:Articles with hCards	33
1967–68	Ajax	Feyenoord	Go Ahead	Ove Kindvall Category:Articles with hCards	28
1970–71	Feyenoord	Ajax	ADO Den Haag	Ove Kindvall Category:Articles with hCards	24
1971–72	Ajax	Feyenoord	Twente	Johan Cruijff Category:Articles with hCards	25
1974–75	PSV Eindhoven	Feyenoord	Ajax	Ruud Geels Category:Articles with hCards	30
1975–76	PSV Eindhoven	Feyenoord	Ajax	Ruud Geels Category:Articles with hCards	29
1976–77	Ajax	PSV Eindhoven	AZ	Ruud Geels Category:Articles with hCards	34
1977–78	PSV Eindhoven	Ajax	AZ	Ruud Geels Category:Articles with hCards	30
1978–79	Ajax	Feyenoord	PSV Eindhoven	Kees Kist Category:Articles with hCards	34
1979–80	Ajax	AZ	PSV Eindhoven	Kees Kist Category:Articles with hCards	27
1980–81	AZ	Ajax	FC Utrecht	Ruud Geels Category:Articles with hCards	22
1981-82	Ajax	PSV Eindhoven	AZ	Wim Kieft Category:Articles with hCards	32
1982-83	Ajax	Feyenoord	PSV Eindhoven	Peter Houtman Category:Articles with hCards	30
1983-84	Feyenoord	PSV Eindhoven	Ajax	Marco van Basten Category:Articles with hCards	28
1984-85	Ajax	PSV Eindhoven	Feyenoord	Marco van Basten Category:Articles with hCards	22
1985-86	PSV Eindhoven	Ajax	Feyenoord	Marco van Basten Category:Articles with hCards	37
1986-87	PSV Eindhoven	Ajax	Feyenoord	Marco van Basten Category:Articles with hCards	31
1987-88	PSV Eindhoven	Ajax	Twente	Wim Kieft Category:Articles with hCards	29
1988–89	PSV Eindhoven	Ajax	Twente	Romário	19
1989-90	Ajax	PSV Eindhoven	Twente	Romário	23
1990–91	PSV Eindhoven	Ajax	FC Groningen	Romário Dennis Bergkamp	25
1991–92	PSV Eindhoven	Ajax	Feyenoord	Dennis Bergkamp Category:Articles with hCards	22
1992–93	Feyenoord	PSV Eindhoven	Ajax	Dennis Bergkamp Category:Articles with hCards	26
1993–94	Ajax	Feyenoord	PSV Eindhoven	Jari Litmanen Category:Articles with hCards	26
1994–95	Ajax	Roda JC	PSV Eindhoven	Ronaldo	30
1995–96	Ajax	PSV Eindhoven	Feyenoord	Luc Nilis Category:Articles with hCards	21
1996–97	PSV Eindhoven	Feyenoord	Twente	Luc Nilis Category:Articles with hCards	21
1997–98	Ajax	PSV Eindhoven	Vitesse	Nikos Machlas Category:Articles with hCards	34
1998–99	Feyenoord	Willem II	PSV Eindhoven	Ruud van Nistelrooy Category:Articles with hCards	31
1999–2000	PSV Eindhoven	Heerenveen	Feyenoord	Ruud van Nistelrooy Category:Articles with hCards	29
2000–01	PSV Eindhoven	Feyenoord	Ajax	Mateja Kežman Category:Articles with hCards	24
2001–02	Ajax	PSV Eindhoven	Feyenoord	Pierre van Hooijdonk Category:Articles with hCards	24
2002-03	PSV Eindhoven	Ajax	Feyenoord	Mateja Kežman Category:Articles with hCards	35
2003-04	Ajax	PSV Eindhoven	Feyenoord	Mateja Kežman Category:Articles with hCards	31
2004-05	PSV Eindhoven	Ajax	AZ	Dirk Kuyt Category:Articles with hCards	29
2005-06	PSV Eindhoven	AZ	Feyenoord	Klaas-Jan Huntelaar Category:Articles with hCards	33
2006-07	PSV Eindhoven	Ajax	AZ	Afonso Alves Category:Articles with hCards	34
2007-08	PSV Eindhoven	Ajax	NAC Breda	Klaas-Jan Huntelaar Category:Articles with hCards	33
2008-09	AZ	Twente	Ajax	Mounir El Hamdaoui Category:Articles with hCards	23
2009-10	Twente	Ajax	PSV Eindhoven	Luis Suárez Category:Articles with hCards	35
2010-11	Ajax	Twente	PSV Eindhoven	Björn Vleminckx Category:Articles with hCards	23
2011-12	Ajax	Feyenoord	PSV Eindhoven	Bas Dost Category:Articles with hCards	32
