Source	Date	Fidesz	MSZP	SZDSZ	Jobbik	others
Medián	25/2/2009	63%	25%	4%	4%	2%
Medián	18/3/2009	66%	23%	2%	4%	1%
Tárki	30/3/2009	62%	23%	3%	4%	5%
Marketing Centrum	30/3/2009	61%	25%	3%	5%	2%
Progresszív Intézet	13/4/2009	62%	25%	3%	3%	2%
Medián	15/4/2009	70%	18%	2%	4%	4%
Századvég-Forsense	21/4/2009	70%	18%	2%	5%	4%
Forsense	27/4/2009	63%	27%	2%	6%	1%
Tárki	29/4/2009	64%	22%	4%	4%	4%
Gallup	8/5/2009	68%	21%	1%	5%	3%
Századvég-Forsense	26/5/2009	71%	17%	1%	6%	3%
Nézőpont	27/5/2009	66%	14%	4%	7%	3%
Tárki	27/5/2009	70%	17%	3%	4%	5%
Szonda Ipsos	28/5/2009	67%	21%	2%	4%	3%
Marketing Centrum	01/06/2009	61%	19%	5%	8%	5%
Medián	03/06/2009	60%	21%	4%	7%	4%
