Wrestlers	Reign	Days held	Location	Event
Punish and Crush	1	220	Tokyo , Japan	UWF Show
Shu El Guerrero and Scorpio, Jr.	1	6	Soka , Saitama , Japan	UWF Show
Punish and Crush	2	6	Tokyo , Japan	UWF Show
Vacated	N/A	—	N/A	N/A
Bulldog K.T. (3) and Pat Tanaka	1	96	Tokyo , Japan	UWF Show
Gran Hamada and The Great Sasuke	1	42	Osaka , Japan	UWF Show
Retired	N/A	—	N/A	N/A
Gedo (4) and Dick Togo	1	50	Akita , Akita , Japan	Michinoku Pro Show
SASUKE and Sasuke the Great	1	152	Tokyo , Japan	Michinoku Pro Show
Mr. X and Mr. X II	1	125	Chiba , Chiba , Japan	Kaientai Dojo Show
Mike Lee, Jr. and SUPER-X	1	428	Chiba , Chiba , Japan	Kaientai Dojo Show
Teppei Ishizaka and Daigoro Kashiwa	1	20	Chiba , Chiba , Japan	Kaientai Dojo Show
Teppei Ishizaka and Daigoro Kashiwa	2	69	Tokyo , Japan	Kaientai Dojo Show
GENTARO and YOSHIYA	1	119	Tokyo , Japan	Kaientai Dojo Show
Ryota Chikuzen and Taka Michinoku	1	127	Chiba , Chiba , Japan	Kaientai Dojo Show
KAZMA and Kengo Mashimo	1	0	Chiba , Chiba , Japan	Kaientai Dojo Show
