Date	Opponent	Score	Loss	Attendance	Record
August 1	@ Orioles	7 - 4	Ballard (1-10)	40,625	56-48
August 2	@ Rangers	5 - 4 (11)	Candelaria (7-4)	30,814	56-49
August 3	@ Rangers	9 - 1	Wells (7-3)	23,728	56-50
August 4	@ Rangers	3 - 2	Stottlemyre (10-12)	35,211	56-51
August 5	@ Rangers	6 - 4	Ryan (11-5)	41,635	57-51
August 6	@ Rangers	4 - 3	Stieb (14-4)	28,638	57-52
August 7	Tigers	11 - 7	Morris (9-14)	49,894	58-52
August 8	Tigers	8 - 3	Terrell (0-1)	49,897	59-52
August 9	Tigers	5 - 4	Stottlemyre (10-13)	49,911	59-53
August 10	Twins	7 - 3	Cerutti (8-8)	49,888	59-54
August 11	Twins	7 - 4	Leach (2-4)	49,873	60-54
August 12	Twins	5 - 4	Key (7-6)	49,892	60-55
August 13	@ White Sox	4 - 3	Thigpen (4-5)	28,961	61-55
August 14	@ White Sox	12 - 4	Hibbard (9-7)	24,314	62-55
August 15	@ White Sox	4 - 3	Candelaria (7-5)	27,947	62-56
August 17	@ Twins	5 - 1	Erickson (3-3)	28,173	63-56
August 18	@ Twins	3 - 0	Anderson (5-16)	32,605	64-56
August 19	@ Twins	9 - 1	Guthrie (4-6)	29,004	65-56
August 20	@ Yankees	6 - 5 (11)	Acker (2-3)	21,661	65-57
August 21	@ Yankees	3 - 2	Candelaria (7-6)	22,315	65-58
August 22	@ Yankees	4 - 2	Cerutti (8-9)	25,088	65-59
August 23	Red Sox	4 - 3	Hesketh (0-1)	49,918	66-59
August 24	Red Sox	2 - 0	Ward (2-7)	49,914	66-60
August 25	Red Sox	1 - 0	Wells (9-4)	49,890	66-61
August 26	Red Sox	1 - 0	Stottlemyre (11-14)	49,897	66-62
August 27	Brewers	4 - 2	Acker (2-4)	49,892	66-63
August 28	Brewers	6 - 2	Stieb (16-5)	49,871	66-64
August 29	Brewers	7 - 3	Knudson (10-7)	49,909	67-64
August 31	@ Indians	12 - 8	Swindell (10-8)	12,508	68-64
