Week	Date	Opponent	Result	Attendance
1	October 7, 1945	at Boston Tigers	L 28-20	22,685
2	October 14, 1945	at Pittsburgh Steelers	W 14-0	14,050
3	October 21, 1945	Philadelphia Eagles	W 24-14	34,788
4	October 28, 1945	at New York Giants	W 24-14	55,641
5	November 4, 1945	Chicago Cardinals	W 24-21	35,000
6	November 11, 1945	Boston Tigers	W 34-7	34,788
7	November 18, 1945	Chicago Bears	W 28-21	34,788
8	November 25, 1945	at Philadelphia Eagles	L 16-0	37,306
9	December 2, 1945	Pittsburgh Steelers	W 24-0	34,788
10	December 9, 1945	New York Giants	W 17-0	34,788
