Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2001	Formula Renault 2000 UK	Fortec Motorsport	13	2	2	3	5	243	4th
2001	Macau Grand Prix	Fortec Motorsport	1	0	0	0	0	N/A	8th
2001	Korea Super Prix	Fortec Motorsport	1	0	0	0	0	N/A	25th
2002	British Formula Three	Fortec Motorsport	26	5	2	3	12	257	3rd
2002	Macau Grand Prix	Fortec Motorsport	1	0	0	0	1	N/A	2nd
2002	Korea Super Prix	Fortec Motorsport	1	0	0	0	0	N/A	14th
2002	Masters of Formula 3	Fortec Motorsport	1	0	0	0	0	N/A	4th
2003	World Series by Nissan	Gabord Competición	18	1	3	1	4	134	2nd
2004	World Series by Nissan	Pons Racing	18	6	10	8	11	176	1st
2005	GP2 Series	Arden International	23	5	2	1	12	105	2nd
2006	Formula One	Mild Seven Renault F1 Team	Test Driver	Test Driver	Test Driver	Test Driver	Test Driver	Test Driver	Test Driver
2007	Formula One	ING Renault F1 Team	17	0	0	0	1	30	7th
2008	Formula One	Vodafone McLaren Mercedes	18	1	1	2	3	53	7th
2009	Formula One	Vodafone McLaren Mercedes	17	0	0	0	0	22	12th
2010	Formula One	Lotus Racing	19	0	0	0	0	0	20th
2011	Formula One	Team Lotus	19	0	0	0	0	0	22nd
2012	Formula One	Caterham F1 Team	20	0	0	0	0	0	22nd
2013	Formula One	Caterham F1 Team	Test Driver	Test Driver	Test Driver	Test Driver	Test Driver	Test Driver	Test Driver
