Season	Date	Location	Discipline	Position	FIS points
2010	20 Dec 2010	Spindleruv Mlyn , Czech Republic	Slalom	1	3910
2010	19 Jan 2010	Vratna , Slovakia	Slalom	1	4447
2011	27 Nov 2010	Levi , Finland	Slalom	3	3366
2011	19 Dec 2010	Spindleruv Mlyn, Czech Republic	Giant slalom	2	5144
2011	20 Dec 2010	Spindleruv Mlyn, Czech Republic	Slalom	1	3595
2011	7 Jan 2011	Liptovska Teplicka , Slovakia	Giant slalom	2	5719
2012	20 Dec 2011	Solda , Italia	Giant slalom	3	3732
2012	20 Jan 2012	Hafjell Olympiabakken , Norway	Super combined	2	4780
2012	11 Feb 2012	Lenggries , Germany	Slalom	1	2553
2012	12 Feb 2012	Gaal , Austria	Slalom	1	1713
2012	25 Mar 2012	Hafjell Olympiabakken, Norway	Slalom	2	1455
2013	25 Jan 2013	Hafjell Olympiabakken , Norway	Super Combined	2	5221
2013	11 Feb 2013	Wildhaus , Switzerland	Slalom	3	1561
2013	14 Feb 2013	Schladming , Austria	Giant slalom	2	2236
2013	13 Mar 2013	S. Valentino Alla Muta , Italia	Slalom	3	2251
2013	13 Mar 2013	Vratna , Slovakia	Giant slalom	2	3495
2013	14 Mar 2013	Vratna , Slovakia	Giant slalom	1	3183
2013	28 Mar 2013	Jasna , Slovakia	Giant slalom	3	3190
2013	4 Apr 2013	Kirovsk , Russia	Slalom	3	1130
