Name	Team	Qual 1	Qual 2	Best
Sébastien Bourdais	Newman/Haas Racing	1:00.413	59.942	59.942
Bruno Junqueira	Newman/Haas Racing	1:01.203	1:00.525	1:00.525
Paul Tracy	Forsythe Racing	1:00.885	1:00.588	1:00.588
Patrick Carpentier	Forsythe Racing	1:01.416	1:00.595	1:00.595
Mario Domínguez	Herdez Competition	1:00.721	—	1:00.721
Oriol Servià	Dale Coyne Racing	1:02.046	1:00.813	1:00.813
A. J. Allmendinger	RuSPORT	—	1:00.907	1:00.907
Ryan Hunter-Reay	Herdez Competition	1:01.545	1:01.072	1:01.072
Mario Haberfeld	Walker Racing	1:01.198	1:01.285	1:01.198
Justin Wilson	Mi-Jack Conquest Racing	1:01.782	1:01.265	1:01.265
Alex Tagliani	Rocketsports Racing	1:01.757	1:01.266	1:01.266
Jimmy Vasser	PKV Racing	1:01.334	1:02.090	1:01.334
Michel Jourdain, Jr.	RuSPORT	1:01.447	1:01.345	1:01.345
Nelson Philippe	Mi-Jack Conquest Racing	1:02.354	1:01.522	1:01.522
Rodolfo Lavín	Forsythe Racing	1:02.130	1:01.794	1:01.794
Guy Smith	Rocketsports Racing	1:02.113	1:02.137	1:02.113
Gastón Mazzacane	Dale Coyne Racing	1:02.412	—	1:02.412
Roberto González	PKV Racing	1:02.604	1:02.507	1:02.507
