Round	Pick	Player	Position	School
1	1	Tommy Nobis	Linebacker	Texas
1	16	Randy Johnson	Quarterback	Texas A&I
2	17	Nick Rassas	Defensive Back	Notre Dame
2	32	Jerry Jones	Tackle	Bowling Green
3	33	Mike Dennis	Running Back	Mississippi
3	48	Phil Sheridan	Wide Receiver	Notre Dame
4	49	Ken Reaves	Defensive Back	Virginia State
4	64	Willie Asbury	Running Back	Kent State
5	65	Bill Wolski	Running Back	Notre Dame
5	80	Martin Kahn	Tackle	North Texas State
6	81	Charley Casey	Wide Receiver	Florida
7	96	William Johnson	Running Back	University of the South
8	111	Bill Goss	Linebacker	Tulane
9	126	Bob Sanders	Center	North Texas State
10	141	Mike Bender	Guard	Arkansas
11	156	Steve Sloan	Quarterback	Alabama
12	171	Ken Hollister	Tackle	Indiana
13	186	Bob Collins	Tackle	South Carolina
14	201	Steve Ecker	Kicker	Shippensburg
15	216	Tom Tolleson	Wide Receiver	Alabama
16	231	Jim Vining	Guard	Rice
17	246	Lurley Archambeau	Center	Toledo
18	261	Doug Korver	Center	Southern Iowa
19	276	Walt Mainer	Defensive Back	Xavier
20	291	Bob Riggle	Defensive Back	Penn State
