No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
45	1	"Friends and Enemies"	Tim Matheson	Matt Nix	June3,2010	BN401	6.62
46	2	"Fast Friends"	Dennie Gordon	Rashad Raisani	June10,2010	BN402	5.67
47	3	"Made Man"	Jeffrey Donovan	Alfredo Barrios, Jr.	June17,2010	BN403	5.31
48	4	"Breach of Faith"	Jeremiah Chechik	Ben Watkins	June24,2010	BN404	5.33
49	5	"Neighborhood Watch"	Kevin Bray	Michael Horowitz	July1,2010	BN405	5.21
50	6	"Entry Point"	Jeffrey Hunt	Craig O'Neill	July15,2010	BN406	5.65
51	7	"Past & Future Tense"	Jeremiah Chechik	Jason Tracey	July22,2010	BN407	5.87
52	8	"Where There's Smoke"	Kevin Bray	Lisa Joy	July29,2010	BN408	5.38
53	9	"Center of the Storm"	Colin Bucksey	Ryan Johnson & Peter Lalayanis	August5,2010	BN409	5.69
54	10	"Hard Time"	Dennie Gordon	Alfredo Barrios, Jr.	August12,2010	BN410	5.57
55	11	"Blind Spot"	Michael Smith	Michael Horowitz	August19,2010	BN411	5.50
56	12	"Guilty as Charged"	Jeremiah Chechik	Matt Nix	August26,2010	BN412	6.29
57	13	"Eyes Open"	Dennie Gordon	Jason Tracey	November11,2010	BN413	4.32
58	14	"Hot Property"	Jonathan Frakes	Rashad Raisani	November18,2010	BN414	3.50
59	15	"Brotherly Love"	Terry Miller	Ben Watkins	December2,2010	BN415	3.70
60	16	"Dead or Alive"	Peter Markle	Lisa Joy	December9,2010	BN416	4.34
61	17	"Out of the Fire"	Marc Roskin	Craig O'Neill	December16,2010	BN417	4.77
