Rank	Nation	Gold	Silver	Bronze	Total
1	Russia	7	1	5	13
2	Japan	4	1	0	5
3	Bulgaria	2	1	1	4
4	Georgia	2	0	2	4
5	Cuba	1	2	2	5
6	Iran	1	1	3	5
7	France	1	1	2	4
8	China	1	1	1	3
9	Azerbaijan	1	0	1	2
10	Turkey	1	0	0	1
11	United States	0	2	5	7
12	Ukraine	0	2	2	4
13	Kazakhstan	0	1	2	3
14	Canada	0	1	1	2
14	Lithuania	0	1	1	2
14	Mongolia	0	1	1	2
14	South Korea	0	1	1	2
18	Denmark	0	1	0	1
18	Germany	0	1	0	1
18	Sweden	0	1	0	1
18	Tajikistan	0	1	0	1
22	Uzbekistan	0	0	3	3
23	Albania	0	0	1	1
23	Armenia	0	0	1	1
23	Belarus	0	0	1	1
23	Czech Republic	0	0	1	1
23	Kyrgyzstan	0	0	1	1
23	Poland	0	0	1	1
23	Romania	0	0	1	1
23	Serbia	0	0	1	1
23	Venezuela	0	0	1	1
Total	Total	21	21	42	84
