Place	Player	Country	Score	To par
1	Ben Hogan	United States	67-72=139	–5
T2	George Fazio	United States	70-71=141	–3
T2	Sam Snead	United States	72-69=141	–3
4	Lloyd Mangrum	United States	73-70=143	–1
5	Jay Hebert	United States	72-72=144	E
6	Dick Metz	United States	75-70=145	+1
T7	Al Mengert	United States	75-71=146	+2
T7	Frank Souchak (a)	United States	70-76=146	+2
T9	Jerry Barber	United States	72-75=147	+3
T9	Julius Boros	United States	75-72=147	+3
T9	Jimmy Demaret	United States	71-76=147	+3
T9	Fred Haas	United States	74-73=147	+3
T9	Marty Furgol	United States	73-74=147	+3
T9	Ted Kroll	United States	76-71=147	+3
