Player	Position	Date of Birth (Age)	Caps	Club/province
Dane Coles	Hooker	10 December 1986 (age27)	12	Wellington / Hurricanes
Andrew Hore	Hooker	13 September 1978 (age35)	82	Taranaki / Highlanders
Keven Mealamu	Hooker	20 March 1979 (age34)	108	Auckland / Blues
Wyatt Crockett	Prop	24 January 1983 (age31)	21	Canterbury / Crusaders
Charlie Faumuina	Prop	24 December 1986 (age27)	14	Auckland / Blues
Ben Franks	Prop	27 March 1984 (age29)	30	Hawke's Bay / Hurricanes
Owen Franks	Prop	23 December 1987 (age26)	51	Canterbury / Crusaders
Jeffery Toomaga-Allen	Prop	19 November 1990 (age23)	1	Wellington / Hurricanes
Tony Woodcock	Prop	27 January 1981 (age33)	105	North Harbour / Highlanders
Dominic Bird	Lock	9 April 1991 (age22)	1	Canterbury / Crusaders
Brodie Retallick	Lock	31 May 1991 (age22)	21	Bay of Plenty / Chiefs
Luke Romano	Lock	16 February 1986 (age27)	15	Canterbury / Crusaders
Jeremy Thrush	Lock	19 April 1985 (age28)	5	Wellington / Hurricanes
Sam Whitelock	Lock	12 October 1988 (age25)	48	Canterbury / Crusaders
Sam Cane	Flanker	13 January 1992 (age22)	14	Bay of Plenty / Chiefs
Steve Luatua	Flanker	29 April 1991 (age22)	9	Auckland / Blues
Richie McCaw ( c )	Flanker	31 December 1980 (age33)	121	Canterbury / Crusaders
Liam Messam	Flanker	25 March 1984 (age29)	26	Waikato / Chiefs
Luke Whitelock	Flanker	29 January 1991 (age23)	1	Canterbury / Crusaders
Kieran Read	Number 8	26 October 1985 (age28)	58	Canterbury / Crusaders
Tawera Kerr-Barlow	Half-back	15 August 1990 (age23)	12	Waikato / Chiefs
TJ Perenara	Half-back	23 January 1992 (age22)	0	Wellington / Hurricanes
Aaron Smith	Half-back	21 November 1988 (age25)	23	Manawatu / Highlanders
Beauden Barrett	First five-eighth	27 May 1991 (age22)	15	Taranaki / Hurricanes
Dan Carter	First five-eighth	5 March 1982 (age31)	98	Canterbury / Crusaders
Aaron Cruden	First five-eighth	8 January 1989 (age25)	26	Manawatu / Chiefs
Tom Taylor	First five-eighth	11 March 1989 (age24)	3	Canterbury / Crusaders
Ryan Crotty	Centre	23 September 1988 (age25)	2	Canterbury / Crusaders
Ma'a Nonu	Centre	21 May 1982 (age31)	85	Wellington / Highlanders
Francis Saili	Centre	16 February 1991 (age22)	2	North Harbour / Blues
Frank Halai	Wing	6 March 1988 (age25)	1	Counties Manukau / Blues
Cory Jane	Wing	8 February 1983 (age30)	43	Wellington / Hurricanes
Julian Savea	Wing	7 August 1990 (age23)	18	Wellington / Hurricanes
Ben Smith	Wing	1 June 1986 (age27)	23	Otago / Highlanders
Israel Dagg	Fullback	6 June 1988 (age25)	35	Hawke's Bay / Crusaders
Charles Piutau	Fullback	31 October 1991 (age22)	8	Auckland / Blues
