Pick #	Player	Position	Nationality	NHL team	College/junior/club team
65	Richard Grenier	Centre	Canada	New York Islanders	Verdun Eperviers (QMJHL)
66	Bill Nyrop	Defence	United States	Montreal Canadiens	University of Notre Dame (WCHA)
67	Larry Bolonchuk	Defence	Canada	Vancouver Canucks	Winnipeg Jets (WCHL)
68	Bernie Germain	Goaltender	Canada	Los Angeles Kings	Regina Pats (WCHL)
69	Gilles Gratton	Goaltender	Canada	Buffalo Sabres	Oshawa Generals (OMJHL)
70	Tim Jacobs	Defence	Canada	California Golden Seals	St. Catharines Black Hawks (OMJHL)
71	Daryl Fedorak	Goaltender	Canada	Philadelphia Flyers	Victoria Cougars (WCHL)
72	Brian Walker	Centre	Canada	Pittsburgh Penguins	Calgary Centennials (WCHL)
73	Dave Johnson	Left Wing	Canada	St. Louis Blues	Cornwall Royals (QMJHL)
74	Dennis Johnson	Left Wing	United States	Detroit Red Wings	University of North Dakota (WCHA)
75	Michel Plante	Left Wing	Canada	Toronto Maple Leafs	Drummondville Rangers (QMJHL)
76	Chris Ahrens	Defence	United States	Minnesota North Stars	Kitchener Rangers (OMJHL)
77	Rejean Giroux	Right Wing	Canada	Chicago Black Hawks	Quebec Remparts (QMJHL)
78	Jean-Paul Martin	Centre	Canada	Atlanta Flames	Shawinigan Dynamos (QMJHL)
79	Marty Gateman	Defence	Canada	New York Rangers	Hamilton Red Wings (OMJHL)
80	Brian Coates	Left Wing	Canada	Boston Bruins	Brandon Wheat Kings (WCHL)
