Week	Date	Opponent	Result	Attendance
1	September 12, 1999	New York Giants	L 17-13	65,026
2	September 19, 1999	at Philadelphia Eagles	W 19-5	64,285
3	September 26, 1999	Denver Broncos	W 13-10	65,297
4	October 3, 1999	at Minnesota Vikings	L 21-14	64,106
5	October 10, 1999	at Green Bay Packers	L 26-23	59,868
6	Bye	Bye	Bye	Bye
7	October 24, 1999	Chicago Bears	W 6-3	65,283
8	October 31, 1999	at Detroit Lions	L 20-3	63,135
9	November 7, 1999	at New Orleans Saints	W 31-16	47,129
10	November 14, 1999	Kansas City Chiefs	W 17-10	64,927
11	November 21, 1999	Atlanta Falcons	W 19-10	65,158
12	November 28, 1999	at Seattle Seahawks	W 16-3	66,314
13	December 6, 1999	Minnesota Vikings	W 24-17	65,741
14	December 12, 1999	Detroit Lions	W 23-16	65,536
15	December 19, 1999	at Oakland Raiders	L 45-0	46,395
16	December 26, 1999	Green Bay Packers	W 29-10	65,273
17	January 2, 2000	at Chicago Bears	W 20-6	66,944
