Athlete	Country	Run 1	Run 2	Run 3
Marion Thees	Germany	52.22	52.21	52.07
Anja Huber	Germany	52.44	52.14	52.35
Mellisa Hollingsworth	Canada	52.64	52.34	52.46
Shelley Rudman	United Kingdom	53.14	52.45	52.24
Olga Potylitsina	Russia	53.10	52.50	52.40
Katharina Heinz	Germany	52.88	52.68	52.76
Amy Gough	Canada	52.81	52.64	52.84
Darla Deschamps	Canada	53.00	52.64	52.87
Katie Uhlaender	United States	53.36	52.75	52.58
Yelena Yudina	Russia	53.29	52.73	52.76
Robynne Thompson	Canada	53.07	53.46	53.55
Emma Lincoln-Smith	Australia	53.33	53.62	53.45
Donna Creighton	United Kingdom	53.48	53.20	53.55
Katharine Eustace	New Zealand	54.12	52.91	53.60
Lucy Chaffer	Australia	53.75	53.72	53.00
Kimber Gabryszak	United States	53.80	53.78	53.10
Joska Le Conté	Netherlands	54.15	53.43	53.41
Nozomi Komuro	Japan	54.11	53.36	53.44
Janine Flock	Austria	53.33	53.57	53.82
Jessica Kilian	Switzerland	53.75	53.68	53.70
Michaela Glässer	Czech Republic	54.07	53.52	53.60
Maria Orlova	Russia	53.59	53.74	53.95
Anne O'Shea	United States	53.65	53.89	53.87
Barbara Hosch	Switzerland	54.62	54.61	53.96
Delia Andreea Ivas	Romania	54.51	54.44	54.65
Maria Marinela Mazilu	Romania	55.22	55.48	54.85
