Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	15-4	Rad Martinez	Decision (unanimous)	Bellator 80	3	5:00	Hollywood, Florida , United States
Win	15-3	Akop Stepanyan	Submission (armbar)	Bellator 76	1	3:24	Windsor, Ontario , Canada
Loss	14-3	Joseph Benavidez	Submission (guillotine choke)	WEC 52	2	2:45	Las Vegas, Nevada, United States
Win	14-2	Frank Gomez	Decision (unanimous)	WEC 49	3	5:00	Edmonton, Alberta , Canada
Win	13-2	Clint Godfrey	Decision (unanimous)	WEC 46	3	5:00	Sacramento, California , United States
Loss	12-2	Mackens Semerzier	Submission (triangle choke)	WEC 43	1	2:14	San Antonio, Texas , United States
Win	12-1	Fredson Paixão	Decision (unanimous)	WEC 40	3	5:00	Chicago, Illinois, United States
Win	11-1	Akitoshi Tamura	Submission (arm-triangle choke)	WEC 37	3	4:48	Las Vegas, Nevada, United States
Win	10-1	Shad Lierley	KO (punch)	IFL: New Blood, New Battles 2	1	0:37	East Rutherford, New Jersey , United States
Win	9-1	LC Davis	Submission (armbar)	IFL: World Grand Prix Finals	1	3:38	Uncasville, Connecticut , United States
Win	8-1	John Gunderson	Submission (guillotine choke)	IFL: World Grand Prix Semifinals	2	1:53	Chicago, Illinois, United States
Win	7-1	Erik Owings	Submission (armbar)	IFL: Las Vegas	1	0:58	Las Vegas, Nevada, United States
Win	6-1	Cam Ward	Submission (arm-triangle choke)	IFL: Connecticut	1	3:24	Uncasville, Connecticut, United States
Win	5-1	Ian Loveland	Submission (arm-triangle choke)	IFL: Atlanta	1	0:59	Atlanta, Georgia, United States
Loss	4-1	Jeff Curran	Decision (split)	APEX: A Night Of Champions	3	5:00	Gatineau, Quebec , Canada
Win	4-0	Bao Quach	KO (head kick)	APEX: Evolution	1	4:50	Gatineau, Quebec, Canada
Win	3-0	Matt Fiordirosa	Decision (unanimous)	Freedom Fights: Canada vs. USA	3	5:00	Hull, Quebec , Canada
Win	2-0	Tommy Lee	Submission (arm-triangle choke)	TKO 16: Infernal	1	2:46	Quebec City, Quebec , Canada
Win	1-0	Ali Nestor Charles	Decision (unanimous)	UCC 1: The New Beginning	2	10:00	Montreal, Quebec , Canada
