Week	Date	Opponent	Result	TV Time	Attendance
1	August 31, 1997	at Baltimore Ravens	W 28–27	NBC 4:15pm	61,018
2	September 7, 1997	New York Giants	W 40–13	FOX 4:15pm	70,581
3	Bye	Bye	Bye	Bye	Bye
4	September 22, 1997	Pittsburgh Steelers	W 30–21	ABC 9:00pm	73,016
5	September 28, 1997	at Washington Redskins	L 24–12	NBC 1:00pm	74,421
6	October 5, 1997	Cincinnati Bengals	W 21–13	NBC 1:00pm	67,128
7	October 12, 1997	Philadelphia Eagles	W 38–21	FOX 1:00pm	69,150
8	October 19, 1997	at Dallas Cowboys	L 26–22	NBC 1:00pm	64,464
9	October 26, 1997	at Pittsburgh Steelers	L 23–17 (OT)	NBC 4:15pm	57,011
10	November 2, 1997	at Tennessee Oilers	W 30–24	NBC 4:15pm	27,208
11	November 9, 1997	Kansas City Chiefs	W 24–10	NBC 1:00pm	70,444
12	November 16, 1997	Tennessee Oilers	W 17–9	NBC 1:00pm	70,070
13	November 23, 1997	at Cincinnati Bengals	L 31–26	NBC 1:00pm	55,158
14	November 30, 1997	Baltimore Ravens	W 29–27	NBC 1:00pm	63,712
15	December 7, 1997	New England Patriots	L 26–20	NBC 1:00pm	73,446
16	December 14, 1997	at Buffalo Bills	W 20–14	NBC 1:00pm	41,231
17	December 21, 1997	at Oakland Raiders	W 20–9	NBC 4:15pm	40,032
