Title	Series	Director	Production Number	Release date	reissue?
Elmer's Pet Rabbit	MM	Chuck Jones	9769	1941-01-04	No
Porky's Snooze Reel	LT	Bob Clampett Norm McCabe	9772	1941-01-11	No
Fighting 69th ½, The	MM	Friz Freleng	9773, BR 1319	1941-01-18	Yes
Sniffles Bells the Cat	MM	Chuck Jones	9855	1941-02-01	Yes
Crackpot Quail, The	MM	Tex Avery	9853	1941-02-15	No
Haunted Mouse, The	LT	Tex Avery	9774	1941-02-15	No
Cat's Tale, The	MM	Friz Freleng	9859	1941-03-01	Yes
Joe Glow, the Firefly	LT	Chuck Jones	9784	1941-03-08	No
Tortoise Beats Hare	MM	Tex Avery	9937	1941-03-15	No
Goofy Groceries	MM	Bob Clampett	9851	1941-03-29	Yes
Porky's Bear Facts	LT	Friz Freleng	9866	1941-03-29	No
Toy Trouble	MM	Chuck Jones	9949, BR 1186	1941-04-12	Yes
Porky's Preview	LT	Tex Avery	9808	1941-04-19	No
Trial of Mister Wolf, The	MM	Friz Freleng	9939, BR 1364	1941-04-26	Yes
Farm Frolics	MM	Bob Clampett	9857, BR 1178	1941-05-10	Yes
Porky's Ant	LT	Chuck Jones	9888	1941-05-10	No
Hollywood Steps Out	MM	Tex Avery	9951	1941-05-24	Yes
Coy Decoy, A	LT	Bob Clampett	9938	1941-06-07	No
Hiawatha's Rabbit Hunt	MM	Friz Freleng	9938	1941-06-07	Yes
Porky's Prize Pony	LT	Chuck Jones	9940	1941-06-21	No
Wacky Worm, The	MM	Friz Freleng	93	1941-06-21	Yes
Meet John Doughboy	LT	Bob Clampett	74	1941-07-05	No
Heckling Hare, The	MM	Tex Avery	75	1941-07-05	No
Inki and the Lion	MM	Chuck Jones	79	1941-07-19	Yes
Aviation Vacation	MM	Tex Avery	91	1941-08-02	No
We, the Animals Squeak!	LT	Bob Clampett	76	1941-08-09	No
Sport Chumpions	MM	Friz Freleng	77	1941-08-16	No
Snowtime for Comedy	MM	Chuck Jones	95, BR 1254	1941-08-30	Yes
Henpecked Duck, The	LT	Bob Clampett	78	1941-08-30	No
All This and Rabbit Stew	MM	Tex Avery (uncredited)	173	1941-09-20	No
Notes to You	LT	Friz Freleng	174	1941-09-20	No
Brave Little Bat, The	MM	Chuck Jones	177, BR 1252	1941-09-27	Yes
Bug Parade, The	MM	Tex Avery Bob Clampett	211, BR 1262	1941-10-11	Yes
Robinson Crusoe Jr.	LT	Norm McCabe	172	1941-10-25	No
Rookie Revue	MM	Friz Freleng	353	1941-10-25	No
Saddle Silly	MM	Chuck Jones	213	1941-11-08	No
Porky's Midnight Matinee	LT	Chuck Jones	192	1941-11-22	No
Cagey Canary, The	MM	Tex Avery Bob Clampett	225	1941-11-22	Yes
Rhapsody in Rivets	MM	Friz Freleng	175, BR 1365	1941-12-06	Yes
Wabbit Twouble	MM	Bob Clampett	413	1941-12-20	No
Porky's Pooch	LT	Bob Clampett	176	1941-12-27	No
