Males Rank	Females Rank	State	HIV awareness (males%)	Females (%)
1	2	Kerala	99	95
2	1	Manipur	99	99
3	3	Tamil Nadu	98	94
4	3	Mizoram	96	94
5	10	Andhra Pradesh	93	74
6	5	Goa	92	83
6	7	Himachal Pradesh	92	79
6	12	Punjab	92	70
9	15	Nagaland	91	81
10	8	Uttarakhand	90	79
11	7	Maharashtra	87	82
12	9	Sikkim	89	75
12	11	Tripura	89	73
14	17	Jammu and Kashmir	88	61
15	18	Haryana	87	60
16	13	Karnataka	85	66
17	23	Gujarat	80	49
17	19	Whole INDIA	80	57
19	13	Arunachal Pradesh	75	66
19	21	Assam	75	53
21	28	West Bengal	74	50
21	26	Uttar Pradesh	74	40
21	22	Rajasthan	74	34
24	16	Odisha	73	62
25	27	Bihar	70	35
26	24	Madhya Pradesh	68	45
27	25	Chattisgarh	67	41
28	19	Meghalaya	63	57
29	29	Jharkhand	53	29
