Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Les Chapman	MF	31 (2)	1	1	0	1	0	33 (2)	1
Dennis Clarke	DF	4	0	0	0	0	0	4	0
Terry Dolan	MF	43	8	2	0	1	0	46	8
John Dungworth	FW	1 (2)	0	0	0	0	0	1 (2)	0
Mick Fairclough	FW	3	1	0	0	0	0	3	1
Franny Firth	FW	1 (1)	0	0	0	0	0	1 (1)	0
Martin Fowler	MF	1 (1)	0	0	0	0	0	1 (1)	0
Paul Garner	DF	43	0	2	0	1	0	46	0
Alan Gowling	FW	45	24	2	1	1	0	48	25
Terry Gray	FW	9 (4)	1	2	0	0	0	11 (4)	1
Peter Hart	MF	1	0	0	0	0	0	1	0
Bobby Hoy	MF	26 (1)	3	2	0	1	0	29 (1)	3
Geoff Hutt	DF	26	0	2	0	0	0	28	0
Dick Krzywicki	MF	2 (1)	0	0	0	0	0	2 (1)	0
Jimmy Lawson	MF	31 (1)	7	0	0	0 (1)	0	31 (2)	7
Dave Lyon	DF	2 (1)	0	0	0	0	0	2 (1)	0
Brian Marshall	DF	24 (2)	0	0	0	0	0	24 (2)	0
Grahame McGifford	DF	16	0	0	0	1	0	17	0
Bob Mountain	MF	1	0	0	0	0	0	1	0
Bob Newton	FW	4	0	1	2	0	0	5	2
Jimmy Nicholson	MF	3 (1)	0	0	0	0	0	3 (1)	0
Terry Poole	GK	41	0	2	0	1	0	44	0
Graham Pugh	MF	28	0	2	0	0	0	30	0
John Saunders	DF	43	0	2	1	1	0	46	1
Dave Smith	MF	1 (1)	0	0	0	1	0	2 (1)	0
Paul Smith	MF	1	0	0 (1)	0	0	0	1 (1)	0
Steve Smith	MF	41	3	1	0	1	0	43	3
Phil Summerill	FW	29 (1)	7	1	0	1	0	31 (1)	7
Dick Taylor	GK	5	0	0	0	0	0	5	0
