Team	Stadium	Capacity	Total	Highest	Lowest	Average
Aberdeen	Pittodrie Stadium	22199	173460	15307	5955	9129
Celtic	Celtic Park	60832	930395	58874	40750	48968
Dundee United	Tannadice Park	14209	140391	11790	4918	7389
Hamilton Academical	New Douglas Park	6096	55056	5356	2011	2898
Heart of Midlothian	Tynecastle Stadium	17420	269506	17420	12009	14185
Inverness CT	Caledonian Stadium	7500	85998	7547	3241	4526
Kilmarnock	Rugby Park	18128	122106	16173	4214	6427
Motherwell	Fir Park	13742	99838	9716	3324	5255
Rangers	Ibrox Stadium	51082	860793	50248	41514	45305
St. Johnstone	McDiarmid Park	10673	72982	6866	2253	3841
