P	Player	Position	SPL	League Cup	Scottish Cup	UEFA Champions League	Total
1	Scott McDonald	Forward	16	1	1	1	19
2	Georgios Samaras	Forward	15	2	0	0	17
3	Shunsuke Nakamura	Midfielder	8	1	0	0	9
4	Scott Brown	Midfielder	5	1	1	0	7
4	Aiden McGeady	Midfielder	3	2	1	1	7
5	Jan Vennegoor of Hesselink	Forward	6	0	0	0	6
6	Shaun Maloney	Midfielder	4	0	0	1	5
7	Cillian Sheridan	Forward	4	0	0	0	4
7	Stephen McManus	Defender	4	0	0	0	4
7	Glenn Loovens	Defender	3	1	0	0	4
8	Paul Hartley	Midfielder	3	0	0	0	3
8	Gary Caldwell	Defender	2	0	1	0	3
9	Barry Robson	Midfielder	1	0	0	1	2
9	Darren O'Dea	Defender	1	1	0	0	2
10	Koki Mizuno	Defender	1	0	0	0	1
10	Marc Crosas	Defender	1	0	0	0	1
