Pitcher	Stats	Wins	Losses	No decisions	Winning %	Seasons
Ben Sheets Category:Articles with hCards	6	3	0	3	1.000	2002, 2003, 2004, 2005, 2007, 2008
Jim Slaton Category:Articles with hCards	3	1	1	1	0.500	1975, 1976, 1980
Teddy Higuera Category:Articles with hCards	3	2	1	0	0.667	1986, 1987, 1988
Marty Pattin Category:Articles with hCards	2	2	0	0	1.000	1969, 1971
Jim Colborn Category:Articles with hCards	2	0	1	1	0.000	1973, 1974
Mike Caldwell Category:Articles with hCards	2	2	0	0	1.000	1979, 1981
Don Sutton Category:Articles with hCards	2	0	1	1	0.000	1983, 1984
Bill Wegman Category:Articles with hCards	2	0	1	1	0.000	1992, 1993
Cal Eldred Category:Articles with hCards	2	0	0	2	0.000	1994, 1998
Ricky Bones Category:Articles with hCards	2	0	0	2	0.000	1995, 1996
Lew Krausse Jr. Category:Articles with hCards	1	0	1	0	0.000	1970
Bill Parsons Category:Articles with hCards	1	1	0	0	1.000	1972
Bill Travers Category:Articles with hCards	1	0	1	0	0.000	1977
Jerry Augustine Category:Articles with hCards	1	1	0	0	1.000	1978
Pete Vuckovich Category:Articles with hCards	1	1	0	0	1.000	1982
Moose Haas Category:Articles with hCards	1	0	1	0	0.000	1985
Don August Category:Articles with hCards	1	0	1	0	0.000	1989
Chris Bosio Category:Articles with hCards	1	0	1	0	0.000	1990
Mark Knudson Category:Articles with hCards	1	1	0	0	1.000	1991
Ben McDonald Category:Articles with hCards	1	0	1	0	0.000	1997
Rafael Roque Category:Articles with hCards	1	0	0	1	0.000	1999
Steve Woodard Category:Articles with hCards	1	0	0	1	0.000	2000
Jamie Wright Category:Articles with hCards	1	0	1	0	0.000	2001
Doug Davis	1	0	0	1	0.000	2006
Jeff Suppan Category:Articles with hCards	1	0	1	0	0.000	2009
