Designation	Launch date/time ( GMT )	Mass	Apogee	Inclination
Prognoz 1	14 April 1972, 00:54	kilograms (lb)	kilometres (mi)	65°
Prognoz 2	29 June 1972, 03:47	kilograms (lb)	kilometres (mi)	65.3°
Prognoz 3	15 February 1973, 01:11	kilograms (lb)	kilometres (mi)	65°
Prognoz 4	22 December 1975, 02:08	kilograms (lb)	kilometres (mi)	65°
Prognoz 5	25 November 1976, 03:59	kilograms (lb)	kilometres (mi)	65.2°
Prognoz 6	22 September 1977, 00:51	kilograms (lb)	kilometres (mi)	74.4°
Prognoz 7	30 October 1978, 05:23	kilograms (lb)	kilometres (mi)	64.9°
Prognoz 8	25 December 1980, 04:02	kilograms (lb)	kilometres (mi)	65.8°
Prognoz 9	1 July 1983, 12:17	kilograms (lb)	kilometres (mi)	1.3°
Prognoz 10	26 April 1985, 05:48	kilograms (lb)	kilometres (mi)	76.8°
