Song title	Artist	Year	Genre	Single / Pack name	Release date	Family Friendly	Additional Rock Band 3 Features
" Gimme Three Steps "	Lynyrd Skynyrd	1973	Southern Rock	Single	Jan.1,2008	Yes	None
" Hard to Handle "	The Black Crowes	1990	Rock	Single	Jan.1,2008	Yes	None
" Limelight "	Rush	1981	Prog	Single	Jan.1,2008	Yes	None
"Die, All Right!"	The Hives	2000	Punk	Single	Jan.8,2008	No	None
" Interstate Love Song "	Stone Temple Pilots	1994	Rock	Single	Jan.8,2008	Yes	None
" The Number of the Beast "	Iron Maiden	1980s	Metal	Single	Jan.8,2008	No	None
" Action "	Sweet	1976	Glam	Single	Jan.15,2008	No	None
" Last Train to Clarksville "	The Monkees	1966	Pop-Rock	Single	Jan.15,2008	Yes	None
" All the Small Things "	Blink-182	1999	Punk	Single	Jan.15,2008	Yes	None
" Don't Look Back in Anger "	Oasis	1995	Rock	Oasis 01	Jan.22,2008	Yes	None
" Live Forever "	Oasis	1994	Rock	Oasis 01	Jan.22,2008	Yes	None
" Wonderwall "	Oasis	1995	Rock	Oasis 01	Jan.22,2008	Yes	None
" Siva "	Smashing Pumpkins	1991	Alternative	Single	Jan.29,2008	Yes	None
" Working Man "	Rush	1974	Prog	Single	Jan.29,2008	No	None
" Ten Speed (Of God's Blood and Burial) "	Coheed and Cambria	2005	Prog	Single	Jan.29,2008	No	None
" Roam "	The B-52's	1989	Pop-Rock	Single	Feb.5,2008	Yes	None
" We Care a Lot "	Faith No More	1987	Rock	Single	Feb.5,2008	No	None
" Calling Dr. Love "	Kiss	1976	Classic Rock	Single	Feb.5,2008	No	None
" Complete Control "	The Clash	1977	Punk	(Arguably) Punk 02	Feb.11,2008	No	None
"Truth Hits Everybody"	The Police	1978	Rock	(Arguably) Punk 02	Feb.11,2008	No	None
"Teenage Lobotomy"	Ramones	1977	Punk	(Arguably) Punk 02	Feb.11,2008	Yes	None
" Sex Type Thing "	Stone Temple Pilots	1992	Alternative	Single	Feb.19,2008	No	None
" El Scorcho "	Weezer	1996	Alternative	Single	Feb.19,2008	No	None
" Why Do You Love Me "	Garbage	2005	Pop-Rock	Single	Feb.19,2008	No	None
" March of the Pigs "	Nine Inch Nails	1994	Rock	Nine Inch Nails 01	Feb.26,2008	No	None
"The Collector"	Nine Inch Nails	2005	Rock	Nine Inch Nails 01	Feb.26,2008	No	None
" The Perfect Drug "	Nine Inch Nails	1997	Rock	Nine Inch Nails 01	Feb.26,2008	No	None
" China Cat Sunflower "	Grateful Dead	1969	Classic Rock	Grateful Dead 01	Mar.4,2008	Yes	None
" Casey Jones "	Grateful Dead	1970	Classic Rock	Grateful Dead 01	Mar.4,2008	No	None
" Sugar Magnolia "	Grateful Dead	1970	Classic Rock	Grateful Dead 01	Mar.4,2008	Yes	None
" Truckin' "	Grateful Dead	1970	Classic Rock	Grateful Dead 01	Mar.4,2008	No	None
"Franklin's Tower"	Grateful Dead	1975	Classic Rock	Grateful Dead 01	Mar.4,2008	No	None
"I Need a Miracle"	Grateful Dead	1978	Classic Rock	Grateful Dead 01	Mar.4,2008	Yes	None
" Crushcrushcrush "	Paramore	2007	Pop-Rock	Single	Mar.11,2008	Yes	None
"Beethoven's C***"	Serj Tankian	2007	Rock	Single	Mar.11,2008	No	None
" Shockwave "	Black Tide	2008	Metal	Single	Mar.11,2008	No	None
"Blinded by Fear"	At the Gates	1995	Metal	Earache Thrash 01	Mar.18,2008	No	None
" D.O.A. "	The Haunted	2003	Metal	Earache Thrash 01	Mar.18,2008	No	None
"Thrasher"	Evile	2007	Metal	Earache Thrash 01	Mar.18,2008	No	None
" Peace of Mind "	Boston	1970s	Classic Rock	Boston 01	Mar.25,2008	Yes	None
" More Than a Feeling "	Boston	1970s	Classic Rock	Boston 01	Mar.25,2008	Yes	Pro Guitar/Bass
" Smokin' "	Boston	1970s	Classic Rock	Boston 01	Mar.25,2008	No	None
" Rock and Roll Band "	Boston	1970s	Classic Rock	Boston 01	Mar.25,2008	Yes	None
"Something About You"	Boston	1970s	Classic Rock	Boston 01	Mar.25,2008	Yes	None
"Hitch a Ride"	Boston	1970s	Classic Rock	Boston 01	Mar.25,2008	Yes	None
" Still Alive "	GLaDOS	2007	Pop-Rock	Single	Apr.1,2008	Yes	None
"Rock Rebellion"	Bang Camaro	2007	Rock	Harmonix 01	Apr.8,2008	Yes	None
"Shake"	Count Zero	2008	Rock	Harmonix 01	Apr.8,2008	No	None
"Sprode"	Freezepop	2003	Pop-Rock	Harmonix 01	Apr.8,2008	Yes	None
" Simple Man "	Lynyrd Skynyrd	1973	Southern Rock	Classic Rock 01	Apr.15,2008	Yes	Pro Guitar/Bass
" Message in a Bottle "	The Police	1979	Rock	Classic Rock 01	Apr.15,2008	Yes	None
" Call Me "	Blondie	1981	Pop-Rock	Classic Rock 01	Apr.15,2008	Yes	None
" Saints of Los Angeles "	Mötley Crüe	2008	Rock	Single	Apr.15,2008	No	None
"The Hellion/ Electric Eye "	Judas Priest	1982	Metal	Screaming for Vengeance	Apr.22,2008	No	None
"Riding on the Wind"	Judas Priest	1982	Metal	Screaming for Vengeance	Apr.22,2008	No	None
"Bloodstone"	Judas Priest	1982	Metal	Screaming for Vengeance	Apr.22,2008	Yes	None
" (Take These) Chains "	Judas Priest	1982	Metal	Screaming for Vengeance	Apr.22,2008	Yes	None
"Pain and Pleasure"	Judas Priest	1982	Metal	Screaming for Vengeance	Apr.22,2008	No	None
"Screaming for Vengeance"	Judas Priest	1982	Metal	Screaming for Vengeance	Apr.22,2008	No	None
" You've Got Another Thing Comin' "	Judas Priest	1982	Metal	Screaming for Vengeance	Apr.22,2008	No	None
"Fever"	Judas Priest	1982	Metal	Screaming for Vengeance	Apr.22,2008	No	None
"Devil's Child"	Judas Priest	1982	Metal	Screaming for Vengeance	Apr.22,2008	No	None
"Red Tandy"	The Mother Hips	2005	Rock	Single	Apr.29,2008	Yes	None
"Time-Sick Son of a Grizzly Bear"	The Mother Hips	2007	Rock	Single	Apr.29,2008	Yes	None
" Zero "	Smashing Pumpkins	1995	Alternative	Single	Apr.29,2008	No	None
" This Ain't a Scene, It's an Arms Race "	Fall Out Boy	2007	Pop-Rock	Scene 01	May6,2008	No	None
" Date with the Night "	Yeah Yeah Yeahs	2003	Rock	Scene 01	May6,2008	No	None
" It Hurts "	Angels & Airwaves	2006	Alternative	Scene 01	May6,2008	No	None
" Hanging on the Telephone "	Blondie	1978	Pop-Rock	Single	May13,2008	Yes	None
" Train in Vain (Stand by Me) "	The Clash	1979	Punk	Single	May13,2008	Yes	None
" Kool Thing "	Sonic Youth	1990	Alternative	Single	May13,2008	Yes	None
" Beetlebum "	Blur	1997	Alternative	Single	May20,2008	No	None
"Countdown to Insanity"	H-Blockx	2007	Rock	Single	May20,2008	No	None
" Hier Kommt Alex "	Toten Hosen Die Toten Hosen	1988	Punk	Single	May20,2008	No	None
" Hysteria "	Muse	2003	Alternative	Single	May20,2008	Yes	None
"Manu Chao"	Wampas Les Wampas	2003	Punk	Single	May20,2008	No	None
" Monsoon "	Tokio Hotel	2005	Glam	Single	May20,2008	Yes	None
"New Wave"	Pleymo	2002	Metal	Single	May20,2008	No	None
" Perfekte Welle "	Juli	2000s	Rock	Single	May20,2008	No	None
" Rock 'n' Roll Star "	Oasis	1994	Rock	Single	May20,2008	Yes	None
" Good Times Roll "	The Cars	1978	Rock	The Cars	May27,2008	Yes	None
" My Best Friend's Girl "	The Cars	1978	Rock	The Cars	May27,2008	Yes	None
" Just What I Needed "	The Cars	1978	Rock	The Cars	May27,2008	Yes	None
"I'm in Touch with Your World"	The Cars	1978	Rock	The Cars	May27,2008	Yes	None
"Don't Cha Stop"	The Cars	1978	Rock	The Cars	May27,2008	No	None
" You're All I've Got Tonight "	The Cars	1978	Rock	The Cars	May27,2008	Yes	None
" Bye Bye Love "	The Cars	1978	Rock	The Cars	May27,2008	Yes	None
" Moving in Stereo "	The Cars	1978	Rock	The Cars	May27,2008	Yes	None
" All Mixed Up "	The Cars	1978	Rock	The Cars	May27,2008	Yes	None
" Indestructible "	Disturbed	2008	Nu-Metal	Disturbed 01	June3,2008	No	None
" Inside the Fire "	Disturbed	2008	Nu-Metal	Disturbed 01	June3,2008	No	None
" Perfect Insanity "	Disturbed	2008	Nu-Metal	Disturbed 01	June3,2008	No	None
" Cheeseburger in Paradise "	Jimmy Buffett	1978	Rock	Jimmy Buffett 01	June3,2008	No	None
" Margaritaville "	Jimmy Buffett	1977	Rock	Jimmy Buffett 01	June3,2008	No	None
" Volcano "	Jimmy Buffett	1979	Rock	Jimmy Buffett 01	June3,2008	No	None
"Moving to Seattle"	The Material	2007	Alternative	MTV2 01	June10,2008	Yes	None
"A Clean Shot"	The Myriad	2008	Alternative	MTV2 01	June10,2008	No	None
"Bullets & Guns"	Them Terribles	2007	Alternative	MTV2 01	June10,2008	No	None
" Girls Who Play Guitars "	Maxïmo Park	2007	Pop-Rock	Single	June10,2008	No	None
"Critical Acclaim"	Avenged Sevenfold	2007	Metal	Single	June17,2008	No	None
" Afterlife "	Avenged Sevenfold	2007	Metal	Single	June17,2008	No	None
" Hammerhead "	The Offspring	2008	Rock	Single	June17,2008	No	None
"Rock n' Roll Dream"	Crooked X	2008	Rock	Single	June17,2008	Yes	None
" Debaser "	Pixies	1989	Alternative	Doolittle	June24,2008	No	None
"Tame"	Pixies	1989	Alternative	Doolittle	June24,2008	Yes	None
"I Bleed"	Pixies	1989	Alternative	Doolittle	June24,2008	No	None
" Here Comes Your Man "	Pixies	1989	Alternative	Doolittle	June24,2008	Yes	None
"Dead"	Pixies	1989	Alternative	Doolittle	June24,2008	No	None
" Monkey Gone to Heaven "	Pixies	1989	Alternative	Doolittle	June24,2008	No	None
"Mr. Grieves"	Pixies	1989	Alternative	Doolittle	June24,2008	Yes	None
" Crackity Jones "	Pixies	1989	Alternative	Doolittle	June24,2008	Yes	None
"La La Love You"	Pixies	1989	Alternative	Doolittle	June24,2008	Yes	None
"No. 13 Baby"	Pixies	1989	Alternative	Doolittle	June24,2008	No	None
"There Goes My Gun"	Pixies	1989	Alternative	Doolittle	June24,2008	Yes	None
"Hey"	Pixies	1989	Alternative	Doolittle	June24,2008	No	None
"Silver"	Pixies	1989	Alternative	Doolittle	June24,2008	Yes	None
"Gouge Away"	Pixies	1989	Alternative	Doolittle	June24,2008	No	None
" Dreamin' "	Weezer	2008	Alternative	Weezer 01	June24,2008	Yes	None
" The Greatest Man That Ever Lived "	Weezer	2008	Alternative	Weezer 01	June24,2008	No	None
" Troublemaker "	Weezer	2008	Alternative	Weezer 01	June24,2008	No	None
"Down at the Whisky"	Mötley Crüe	2008	Metal	Crüe Fest 01	July1,2008	No	None
"Time Is Running Out"	Papa Roach	2006	Alternative	Crüe Fest 01	July1,2008	Yes	None
" Who's Going Home with You Tonight? "	Trapt	2008	Nu-Metal	Crüe Fest 01	July1,2008	Yes	None
"Promised Land"	Vesuvius	2008	Rock	Single	July1,2008	No	None
" Snow ((Hey Oh)) "	Red Hot Chili Peppers	2006	Rock	Single	July8,2008	No	None
" Tell Me Baby "	Red Hot Chili Peppers	2006	Rock	Single	July8,2008	No	None
" Closer to the Heart "	Rush	1977	Prog	Single	July8,2008	Yes	None
" Working Man " (Vault Edition)	Rush	1974	Prog	Single	July8,2008	No	None
" Amazing Journey "	The Who	1969	Classic Rock	The Best of The Who (Rock Band Edition)	July15,2008	Yes	None
" Baba O'Riley "	The Who	1971	Classic Rock	The Best of The Who (Rock Band Edition)	July15,2008	Yes	None
" Behind Blue Eyes "	The Who	1971	Classic Rock	The Best of The Who (Rock Band Edition)	July15,2008	Yes	None
" Eminence Front "	The Who	1982	Classic Rock	The Best of The Who (Rock Band Edition)	July15,2008	Yes	None
" Going Mobile "	The Who	1971	Classic Rock	The Best of The Who (Rock Band Edition)	July15,2008	Yes	None
" Leaving Here "	The Who	1965	Classic Rock	The Best of The Who (Rock Band Edition)	July15,2008	Yes	None
" My Generation " ( Live at Leeds )	The Who	1970	Classic Rock	The Best of The Who (Rock Band Edition)	July15,2008	Yes	None
" Real Good Looking Boy "	The Who	2004	Classic Rock	The Best of The Who (Rock Band Edition)	July15,2008	No	None
" Sea and Sand "	The Who	1973	Classic Rock	The Best of The Who (Rock Band Edition)	July15,2008	No	None
" Summertime Blues " ( Live at Leeds )	The Who	1970	Classic Rock	The Best of The Who (Rock Band Edition)	July15,2008	Yes	None
" Who Are You "	The Who	1978	Classic Rock	The Best of The Who (Rock Band Edition)	July15,2008	No	None
" Young Man Blues " ( Live at Leeds )	The Who	1970	Classic Rock	The Best of The Who (Rock Band Edition)	July15,2008	No	None
" Burn "	Nine Inch Nails	1994	Rock	Nine Inch Nails 02	July22,2008	No	None
" Capital G "	Nine Inch Nails	2007	Rock	Nine Inch Nails 02	July22,2008	No	None
"Last"	Nine Inch Nails	1992	Rock	Nine Inch Nails 02	July22,2008	No	None
" Devour "	Shinedown	2008	Nu-Metal	Single	July22,2008	Yes	None
"Junkies for Fame"	Shinedown	2008	Nu-Metal	Single	July22,2008	No	None
" They Say "	Scars on Broadway	2008	Rock	Single	July29,2008	No	None
"This Is It"	Staind	2008	Nu-Metal	Single	July29,2008	Yes	None
"Electric Crown"	Testament	1992	Metal	Single	July29,2008	Yes	None
"Yomp"	Thenewno2	2008	Pop-Rock	Single	July29,2008	Yes	None
" Toxicity "	System of a Down	2002	Metal	Single	Aug.5,2008	Yes	None
" B.Y.O.B. "	System of a Down	2005	Alternative	Single	Aug.5,2008	No	None
"Face Down in the Dirt"	Mötley Crüe	2008	Rock	Crüe Fest 02	Aug.5,2008	No	None
"Rescue Me"	Buckcherry	2008	Rock	Crüe Fest 02	Aug.5,2008	Yes	None
" Life Is Beautiful "	Sixx:A.M.	2007	Rock	Crüe Fest 02	Aug.5,2008	No	None
" Aesthetics of Hate "	Machine Head	2007	Metal	Roadrunner Records 01	Aug.12,2008	No	None
