Ranking	Nationality	Name	Position	Years	League	Europe	Others	Total
1	Spain	Xavi Hernández Category:Articles with hCards	MF	1998–	454	153	22	692
2	Spain	Carles Puyol Category:Articles with hCards	DF	1999–	389	128	14	583
3	Spain	Migueli	DF	1973–1989	391	85	13	549
4	Spain	Víctor Valdés Category:Articles with hCards	GK	2002–	373	112	21	518
5	Spain	Andrés Iniesta Category:Articles with hCards	MF	2002–	314	94	18	472
6	Spain	Carles Rexach Category:Articles with hCards	FW	1965–1981	328	63	0	449
7	Spain	Guillermo Amor Category:Articles with hCards	MF	1988–1998	311	60	15	421
8	Spain	Andoni Zubizarreta Category:Articles with hCards	GK	1986–1994	301	68	9	410
9	Spain	Joan Segarra Category:Articles with hCards	DF	1949–1964	299	34	0	402
10	Spain	Joaquim Rifé Category:Articles with hCards	MF	1964–1976	290	49	0	401
