Tournament	Surface	Week	Winner	Finalist	Semifinalists
Indian Wells	Hard	March 11	Lleyton Hewitt (1) 6–1, 6–2	Tim Henman (9)	Pete Sampras (10) Todd Martin (WC)
Miami	Hard	March 18	Andre Agassi (9) 6–3, 6–3, 3–6, 6–4	Roger Federer (12)	Lleyton Hewitt (1) Marcelo Ríos (31)
Monte Carlo	Clay	April 15	Juan Carlos Ferrero (2) 7–5, 6–3, 6–4	Carlos Moyá	Tim Henman (4) Sébastien Grosjean (7)
Rome	Clay	May 6	Andre Agassi (9) 6–3, 6–3, 6–0	Tommy Haas (7)	Andy Roddick (13) Jiří Novák (14)
Hamburg	Clay	May 13	Roger Federer (11) 6–1, 6–3, 6–4	Marat Safin (6)	Tommy Robredo Max Mirnyi
Canada (Toronto)	Hard	July 29	Guillermo Cañas 6–4, 7–5	Andy Roddick (22)	Jiří Novák (14) Tommy Haas (3)
Cincinnati	Hard	August 5	Carlos Moyá (16) 7–5, 7–6(5)	Lleyton Hewitt (1)	Fernando González Juan Carlos Ferrero (8)
Madrid	Hard (i)	October 14	Andre Agassi (2) w/o	Jiří Novák (11)	Fabrice Santoro (Q) Sébastien Grosjean (7)
Paris	Hard (i)	October 28	Marat Safin (3) 7–6(4), 6–0, 6–4	Lleyton Hewitt (1)	Paradorn Srichaphan Carlos Moyá (10)
Shanghai ( TMC )	Hard (i)	November 12	Lleyton Hewitt 7–5, 7–5, 2–6, 2–6, 6–4	Juan Carlos Ferrero	Carlos Moyá Roger Federer
