Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
17	December 2	Detroit	L 77–89 (OT)	Tim Duncan (23)	Tim Duncan (13)	Tony Parker (5)	AT&T Center 17,582	9–8
18	December 4	@ Denver	W 108–91 (OT)	Tony Parker (22)	Tim Duncan (12)	Tony Parker (8)	Pepsi Center 15,866	10–8
19	December 6	Golden State	W 123–88 (OT)	Tim Duncan (20)	Tim Duncan (13)	Tony Parker (8)	AT&T Center 17,740	11–8
20	December 9	@ Dallas	W 133–126 (2OT)	Tim Duncan (32)	Tim Duncan (14)	Tony Parker (10)	American Airlines Center 19,937	12–8
21	December 10	Atlanta	W 95–89 (OT)	Manu Ginóbili (27)	Matt Bonner (13)	George Hill (5)	AT&T Center 18,161	13–8
22	December 12	@ Minnesota	W 98–86 (OT)	Tony Parker , Tim Duncan (17)	Tim Duncan (13)	Tony Parker (9)	Target Center 15,336	14–8
23	December 14	Oklahoma City	W 109–104 (OT)	Tony Parker (22)	Tim Duncan (12)	Tony Parker (7)	AT&T Center 17,419	15–8
24	December 17	@ New Orleans	L 83–90 (OT)	Tony Parker (20)	Tim Duncan (11)	Manu Ginóbili (5)	New Orleans Arena 16,593	15–9
25	December 18	@ Orlando	L 78–90 (OT)	Tim Duncan (19)	Tim Duncan (9)	Tony Parker (4)	Amway Arena 17,461	15–10
26	December 20	Toronto	W 107–97 (OT)	Tony Parker (24)	Kurt Thomas (12)	Tony Parker (10)	AT&T Center 17,227	16–10
27	December 22	Sacramento	W 101–85 (OT)	Tony Parker (18)	Kurt Thomas (7)	Tony Parker (6)	AT&T Center 18,372	17–10
28	December 23	Minnesota	W 99–93 (OT)	Tony Parker (36)	Tim Duncan (12)	Tony Parker (8)	AT&T Center 17,996	18–10
29	December 25	@ Phoenix	W 91–90 (OT)	Tony Parker (27)	Tim Duncan (17)	Tony Parker (8)	US Airways Center 18,422	19–10
30	December 27	Memphis	W 106–103 (2OT)	Tony Parker (32)	Michael Finley , Bruce Bowen (6)	Tony Parker , Michael Finley (5)	AT&T Center 18,797	20–10
31	December 30	Milwaukee	L 98–100 (OT)	Tim Duncan (22)	Tim Duncan (6)	Tony Parker (10)	AT&T Center 18,797	20–11
