Tournament	2004	2005	2006	2007	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	4R	F	2R	3R	4R	3R	3R	2R
French Open	A	1R	2R	4R	1R	1R	3R	2R	2R
Wimbledon	A	1R	SF	QF	4R	A	1R	3R	3R
US Open	2R	1R	2R	1R	A	A	1R	1R	2R
Win–Loss	1–1	3–4	13–4	8–4	5–3	3–2	4–4	5–4	5–4
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	2R	Not Held	Not Held	Not Held	A	Not Held	Not Held	Not Held	3R
ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000
Indian Wells Masters	A	A	QF	2R	3R	A	4R	2R	3R
Miami Masters	A	A	3R	2R	A	2R	3R	2R	2R
Monte Carlo Masters	A	A	A	1R	A	A	1R	1R	A
Rome Masters	A	A	2R	3R	A	A	1R	1R	1R
Madrid Masters	A	A	2R	2R	A	A	2R	2R	1R
Canada Masters	A	A	1R	3R	A	A	1R	1R	2R
Cincinnati Masters	A	A	3R	3R	A	LQ	SF	1R	2R
Shanghai Masters	Not Held	Not Held	Not Held	Not Held	Not Held	A	1R	A	3R
Paris Masters	A	A	A	SF	1R	A	A	A	1R
Hamburg Masters	A	A	1R	1R	A	Not Masters 1000 Series	Not Masters 1000 Series	Not Masters 1000 Series	Not Masters 1000 Series
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
Tournaments	2	12	21	23	12	17	28	27	25
Titles–Finals	0–0	0–1	1–1	1–2	0–0	1–0	1–2	0–1	0–0
Overall Win–Loss	2–2	11–12	37–20	48–22	14–12	23–16	43–27	28–27	35–25
Year End Ranking	159	55	12	16	98	42	20	44	36
