Country	Name	Presenter(s)	Judges	Network	Premiere / Air dates
Albania	MasterChef Albania	Arbana Osmani	TBA	Top Channel	2013/14
Australia	Celebrity MasterChef Australia	George Calombaris Gary Mehigan	Gary Mehigan George Calombaris Matt Preston	Network Ten	30 September 2009 – 25 November 2009
Australia	MasterChef Australia All-Stars	George Calombaris Gary Mehigan	Gary Mehigan George Calombaris Matt Preston	Network Ten	26 July 2012 – 19 August 2012
Australia	MasterChef Australia: The Professionals	Marco Pierre White Matt Preston	Marco Pierre White Matt Preston	Network Ten	20 January 2013 – 17 March 2013
Bangladesh	MasterChef Bangladesh	TBA	TBA	Delta Bay (production)	TBA
Canada	Masterchef Canada	TBA	Alvin Leung Claudio Aprile Micheal Bonacini	CTV	Winter 2014
Croatia	MasterChef Hrvatska	Mitchell Musso	Tomislav Gretić Mate Janković Radovan Marčić	Nova TV	21 March 2011 – 17 June 2011 ( Season 1 )
Czech Republic Slovakia	MasterChef ČS	Daniela Peštová	Martin Korbelič Jiří Štift Radek Šubrt	Markíza Nova	31 August 2012 – present
Denmark	Masterchef Denmark	Thomas Herman Henrik-Yde-Andersen Anders Aagaard	Thomas Herman Henrik-Yde-Andersen Anders Aagaard	TV3	5 September 2011
Finland	MasterChef Suomi	Mikko Silvennoinen	Sikke Sumari Tom Björck Risto Mikkola	Nelonen	18 January 2011 – present
France	MasterChef	Carole Rousseau	Frédéric Anton Yves Camdeborde Sébastien Demorand	TF1	19 August 2010 – present
Germany	Deutschlands Meisterkoch (MasterChef Germany)	N/A	Tim Raue Thomas Jaumann Nelson Müller	Sat.1	27 August – 16 October 2010 (Season 1)
Hungary	Mesterszakács (MasterChef)	unknown	Gianni Annoni Bíró Lajos	Viasat3	26 October 2009 – present
India	Zaykebazon Ka Safar (non-competition)	Vikas Khanna Chef Ajay Chopra Chef Kunal Kapoor	N/A	Star Plus	22 October 2011 – 1 January 2012 (Season 2)
India	Kitchen Ke Superstar	Vikas Khanna Sanjeev Kapoor Chef Kunal Kapoor	Vikas Khanna Sanjeev Kapoor Chef Kunal Kapoor	Star Plus	11 March 2013 – present (Season 3)
India	Kitchen Magic	Lakshmi Nair	TBC	Kairali TV	22 April 2013 – present
Ireland	Celebrity MasterChef Ireland	Lorraine Pilkington (narrator)	Dylan McGrath Nick Munier	RTÉ One	14 July 2013 – 18 August 2013 (Series 1)
Netherlands	MasterChef	Renate Verbaan	Alain Caron Peter Lute	Net 5	26 September 2010 – present
Norway	Masterchef Norge	Jenny Skavlan	Eyvind Hellstrøm Jan Vardøen Tom Victor Gausdal	TV3	16 March 2010
Pakistan	MasterChef Pakistan	TBA	TBA	Urdu 1	2013
Philippines	MasterChef Pinoy Edition	Judy Ann Santos-Agoncillo	Fern Aracama Rolando Laudico JP Anglo	ABS-CBN	12 November 2012 – present
Portugal	MasterChef	Sílvia Alberto	Justa Nobre Ljubomir Stanisic Chef Cordeiro	RTP1	9 July 2011 – 17 October 2011
Romania	Celebrity MasterChef	Răzvan Fodor	Florin Dumitrescu Cătălin Scărlătescu Sorin Bontea	ProTV	8 October 2013 – TBA (Season 1)
Saudi Arabia	ماستر شيف العرب MasterChef Elarab	TBA	TBA	Saudi TV 1	2013
Slovakia	Masterchef Slovensko	Daniela Peštová	Martin Korbelič Jiří Štift Radek Šubrt	Markíza	26 August 2012 – present
South Africa	Masterchef South Africa	Pete Goffe-Wood Andrew Atkinson Benny Masekwameng	Pete Goffe-Wood Andrew Atkinson Benny Masekwameng	Mnet	20 March 2012 – present (Series 1)
Sweden	Sveriges mästerkock	N/A	Leif Mannerström Marcus Aujalay Per Morberg	TV4	12 January 2011 – present
Turkey	MasterChef Türkiye	Vural Özkandan	Batuhan Zeynioğlu Piatti Murat Bozok Erol Kaynar	Show TV	Spring 2010
