Date	Tournament	Winning score	Margin of victory	Runner(s)-up
May 16, 1971	Sealy LPGA Classic	–3 (77-69-72-71=289)	2 strokes	Donna Caponi
Jun 20, 1971	Heritage Open	–8 (71-70-70=211)	1 stroke	Chako Higuchi
May 29, 1972	Titleholders Championship	–1 (71-68-72-72=283)	10 strokes	Judy Rankin , Mickey Wright
Feb 18, 1973	Pompano Beach Classic	–1 (72-73-70=215)	Playoff	Betty Burfeindt
May 19, 1973	St. Paul Open	–7 (70-68-71=209)	1 stroke	Jane Blalock , Judy Rankin
Aug 26, 1973	National Jewish Hospital Open	–3 (73-69-68=210)	1 stroke	Betty Burfeindt
Sep 30, 1973	Cameron Park Open	–7 (73-72-67=212)	2 strokes	Susie Maxwell , Gail Toushin
Feb 4, 1974	Burdine's Invitational	–3 (70-69-76=215)	Playoff	Kathy Whitworth
Oct 21, 1974	Cubic Corporation Classic	–1 (72-72-71=215)	1 stroke	Kathy McMullen
Apr 20, 1975	Colgate-Dinah Shore Winner's Circle	–5 (70-70-70-73=283)	1 stroke	Kathy McMullen
Jul 20, 1975	U.S. Women's Open	+7 (78-74-71-72=295)	4 strokes	JoAnne Carner , Nancy Lopez (a), Sandra Post
Jul 4, 1976	Bloomington Bicentennial Classic	–7 (71-67-71=209)	1 stroke	Laura Baugh , JoAnne Carner
Aug 29, 1976	National Jewish Hospital Open	–10 (69-70-67=206)	2 strokes	Pat Bradley
Sep 5, 1976	Jerry Lewis Muscular Dystrophy Classic	–3 (71-68-74=213)	Playoff	JoAnne Carner , Mary Lou Crocker , Michelle Walker
Mar 27, 1977	Kathryn Crosby/Honda Civic Classic	–7 (70-68-69-74=281)	4 strokes	Hollis Stacy
Apr 17, 1977	Women's International	–7 (70-72-69-70=281)	2 strokes	Jane Blalock
Feb 1, 1981	Whirlpool Championship of Deer Creek	–8 (66-69-74-75=284)	2 strokes	Amy Alcott
Aug 8, 1982	Boston Five Classic	–7 (74-67-71-69=281)	1 stroke	Terri Moody
Jun 29, 1986	Mayflower Classic	–8 (68-68-72-72=280)	Playoff	Christa Johnson , Jan Stephenson
