No.	Album	Artist	Record label	Released	Chart peak	Number of times certified platinum
1	Greatest Hits	Queen	Parlophone	Cannot handle non-empty timestamp argument! 1981	1	11×
2	Gold: Greatest Hits	ABBA	Polydor	Cannot handle non-empty timestamp argument! 1992	1	14×
3	Sgt. Pepper's Lonely Hearts Club Band	The Beatles Category:Articles with hCards	Parlophone	Cannot handle non-empty timestamp argument! 1967	1	3×
4	21	Adele	XL	Cannot handle non-empty timestamp argument! 2011	1	16×
5	(What's the Story) Morning Glory?	Oasis	Creation	Cannot handle non-empty timestamp argument! 1995	1	14×
6	Thriller	Michael Jackson Category:Articles with hCards	Epic	Cannot handle non-empty timestamp argument! 1982	1	11×
7	Brothers in Arms	Dire Straits	Vertigo	Cannot handle non-empty timestamp argument! 1985	1	13×
9	Bad	Michael Jackson Category:Articles with hCards	Epic	Cannot handle non-empty timestamp argument! 1987	1	13×
10	Greatest Hits II	Queen	Parlophone	Cannot handle non-empty timestamp argument! 1991	1	8×
12	Back to Black	Amy Winehouse Category:Articles with hCards	Island	Cannot handle non-empty timestamp argument! 2006	1	11×
13	Stars	Simply Red	East West	Cannot handle non-empty timestamp argument! 1991	1	12×
14	Rumours	Fleetwood Mac	Warner Bros.	Cannot handle non-empty timestamp argument! 1977	1	11×
15	Come On Over	Shania Twain Category:Articles with hCards	Mercury	Cannot handle non-empty timestamp argument! 1998	1	11×
16	Back to Bedlam	James Blunt Category:Articles with hCards	Atlantic	Cannot handle non-empty timestamp argument! 2004	1	10×
17	Urban Hymns	The Verve Category:Articles with hCards	Hut	Cannot handle non-empty timestamp argument! 1997	1	10×
18	Bridge Over Troubled Water	Simon & Garfunkel	CBS	Cannot handle non-empty timestamp argument! 1970	1	1×
19	No Angel	Dido	Cheeky	Cannot handle non-empty timestamp argument! 2000	1	10×
20	Spirit	Leona Lewis Category:Articles with hCards	Syco	Cannot handle non-empty timestamp argument! 2007	1	10×
21	Legend	Bob Marley & The Wailers	Island / Tuff Gong	Cannot handle non-empty timestamp argument! 1984	1	6×
22	Bat Out of Hell	Meat Loaf	Epic	Cannot handle non-empty timestamp argument! 1977	9	6×
23	Dirty Dancing	Original soundtrack	RCA	Cannot handle non-empty timestamp argument! 1987	4	5×
24	1	The Beatles Category:Articles with hCards	Apple	Cannot handle non-empty timestamp argument! 2000	1	10×
25	Talk on Corners	The Corrs Category:Articles with hCards	Atlantic	Cannot handle non-empty timestamp argument! 1997	1	9×
26	White Ladder	David Gray Category:Articles with hCards	IHT / East West	Cannot handle non-empty timestamp argument! 1998	1	9×
27	Spice	Spice Girls	Virgin	Cannot handle non-empty timestamp argument! 1996	1	10×
28	Crazy Love	Michael Bublé Category:Articles with hCards	Reprise	Cannot handle non-empty timestamp argument! 2009	1	10×
29	Life for Rent	Dido	Cheeky	Cannot handle non-empty timestamp argument! 2003	1	9×
30	Beautiful World	Take That	Polydor	Cannot handle non-empty timestamp argument! 2006	1	8×
31	The Fame Category:Articles with hCards	Lady Gaga	Interscope	Cannot handle non-empty timestamp argument! 2009	1	9×
33	Hopes and Fears	Keane	Island	Cannot handle non-empty timestamp argument! 2004	1	9×
34	The Joshua Tree Category:Articles with hCards	U2	Island	Cannot handle non-empty timestamp argument! 1987	1	6×
35	...But Seriously	Phil Collins Category:Articles with hCards	Virgin	Cannot handle non-empty timestamp argument! 1989	1	8×
36	Scissor Sisters	Scissor Sisters	Polydor	Cannot handle non-empty timestamp argument! 2004	1	9×
37	Only by the Night	Kings of Leon	Hand Me Down	Cannot handle non-empty timestamp argument! 2008	1	9×
39	The Man Who Category:Articles with hCards	Travis	Independiente	Cannot handle non-empty timestamp argument! 1999	1	9×
