Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Gateshead	42	10	8	85	51	+34	82
2	Marine	42	11	8	63	35	+28	80
3	Morecambe	42	17	8	59	39	+20	68
4	Gainsborough Trinity	42	14	10	66	52	+14	68
5	Burton Albion	42	12	12	64	47	+17	66
6	Southport	42	11	14	70	66	+4	62
7	Worksop Town	42	10	15	51	48	+3	61
8	Workington	42	18	10	54	46	+8	59 2
9	Macclesfield Town	42	8	17	67	65	+2	59
10	Hyde United	42	15	13	63	62	+1	57
11	Witton Albion	42	13	14	56	59	−3	57 2
12	Mossley	42	16	13	56	60	−4	55
13	Bangor City	42	15	14	51	51	0	54
14	Rhyl	42	10	18	65	71	−6	52
15	South Liverpool	42	17	14	43	44	−1	50
16	Horwich RMI	42	6	21	53	63	−10	50 2
17	Caernarfon Town	42	17	14	51	63	−12	50
18	Oswestry Town	42	13	17	51	60	−9	49
19	Buxton	42	12	19	55	76	−21	45
20	Chorley	42	15	18	56	64	−8	42
21	Matlock Town	42	15	18	59	75	−16	42
22	Goole Town	42	11	24	37	78	−41	31 2
