Province	Map #	ISO 3166-2:AF	Centers	Population	Area (km²)	Language	Notes	U.N. Region
Badakhshan	30	AF-BDS	Fayzabad	823000	44059	Dari Persian ,	Composed of 29 districts	North East Afghanistan
Badghis	4	AF-BDG	Qala i Naw	429500	20591	Dari Persian, Pashto	7 districts	West Afghanistan
Baghlan	19	AF-BGL	Puli Khumri	779000	21118	Dari Persian Uzbek , Turkmen , Pashto	16 districts	North East Afghanistan
Balkh	13	AF-BAL	Mazari Sharif	1096100	17249	Dari Persian,	15 districts	North Afghanistan
Bamyan	15	AF-BAM	Bamyan	387300	14175	Dari Persian	7 districts	East Central Afghanistan
Daykundi	10	AF-DAY	Nili	399600	8088	Dari Persian	8 districts Formed from Orūzgān Province in 2004	South West Afghanistan
Farah	2	AF-FRA	Farah	438000	48471	Pashto, Dari Persian, Baloch	11 districts	West Afghanistan
Faryab	5	AF-FYB	Maymana	858600	20293	Dari Persian, Turkmen and Uzbek	14 districts	West Afghanistan
Ghazni	16	AF-GHA	Ghazni	931000	22915	Pashto, Dari Persian	19 districts	South Afghanistan
Ghor	6	AF-GHO	Chaghcharan	485000	36479	Dari Persian	10 districts	East Central Afghanistan
Helmand	7	AF-HEL	Lashkar Gah	745000	58584	Pashto	13 districts	South West Afghanistan
Herat	1	AF-HER	Herat	1182000	54778	Dari Persian, Pashto	15 districts	West Afghanistan
Jowzjan	8	AF-JOW	Sheberghan	441000	11798	Uzbek, Dari Persian	9 districts	North Afghanistan
Kabul	22	AF-KAB	Kabul	3314000	4462	Pashto, Dari Persian, Turkmen and Uzbek	15 districts	Central Afghanistan
Kandahar	12	AF-KAN	Kandahar	886000	54022	Pashto, Dari Persian	16 districts	South West Afghanistan
Kapisa	29	AF-KAP	Mahmud-i-Raqi	360000	1842	Dari Persian	7 districts	Central Afghanistan
Khost	26	AF-KHO	Khost	300000	4152	Pashto	13 districts	South Afghanistan
Kunar	34	AF-KNR	Asadabad	321000	4942	Pashto	15 districts	East Afghanistan
Kunduz	18	AF-KDZ	Kunduz	820000	8040	Dari Persian, Uzbek, Turkmen, Pashto	7 districts	North East Afghanistan
Laghman	32	AF-LAG	Mihtarlam District	373000	3843	Pashto, Dari Persian and Pashai	5 districts	East Afghanistan
Lowgar	23	AF-LOW	Pul-i-Alam	292000	3880	Dari Persian, Pashto	7 districts	Central Afghanistan
Nangarhar	33	AF-NAN	Jalalabad	1089000	7727	Pashto, Dari Persian	23 districts	East Afghanistan
Nimruz	3	AF-NIM	Zaranj	149000	41005	Balochi , Dari Persian and Balochi	5 districts	South West Afghanistan
Nurestan	31	AF-NUR	Parun	112000	9225	Nuristani , Pashto, Dari Persian	7 districts	East Afghanistan
Orūzgān	11	AF-ORU	Tarin Kowt	627000	22696	Pashto	6 districts	South West Afghanistan
Paktia	24	AF-PIA	Gardez	415000	6432	Pashto, Dari Persian	11 districts	South Afghanistan
Paktika	25	AF-PKA	Sharan	352000	19482	Pashto	15 districts	South Afghanistan
Panjshir	28	AF-PAN	Bazarak	128620	3610	Dari Persian	5 districts Created in 2004 from Parwan Province	Central Afghanistan
Parwan	20	AF-PAR	Charikar	726000	5974	Dari Persian	Composed of 9 districts	Central Afghanistan
Samangan	14	AF-SAM	Aybak	378000	11262	Dari Persian, Uzbek	5 districts	North Afghanistan
Sar-e Pol	9	AF-SAR	Sar-e Pol	468000	15999	Dari Persian and Uzbek	6 districts	North Afghanistan
Takhar	27	AF-TAK	Taloqan	810800	12333	Dari Persian, and Uzbek	12 districts	North East Afghanistan
Wardak	21	AF-WAR	Meydan Shahr	413000	8938	Pashto, Dari Persian	9 districts	Central Afghanistan
