Round	Circuit	Location	Date	Pole position	Fastest lap	Winning driver	Winning team
1	Virginia International Raceway	Alton, Virginia	April 10	Daniel Erickson	Cole Morgan	Victor Carbone	Alegra Motorsports
2	Virginia International Raceway	Alton, Virginia	April 11	Daniel Erickson	Jonathan Scarallo	Cole Morgan	K-Hill Motorsports
3	Road Atlanta	Braselton, Georgia	May 7	Victor Carbone	Rob Nicholas	Victor Carbone	Alegra Motorsports
4	Road Atlanta	Braselton, Georgia	May 8	Victor Carbone	Victor Carbone	Victor Carbone	Alegra Motorsports
5	Mosport International Raceway	Bowmanville, Ontario	June 12	Remy Audette	Remy Audette	Remy Audette	Audette Racing
6	Mosport International Raceway	Bowmanville, Ontario	June 13	Victor Carbone	Victor Carbone	Victor Carbone	Alegra Motorsports
7	Watkins Glen International	Watkins Glen, New York	July 3	Chris Livengood	Cole Morgan	Daniel Erickson	Primus Racing
8	Watkins Glen International	Watkins Glen, New York	July 4	Daniel Erickson	Victor Carbone	Daniel Erickson	Primus Racing
9	Lime Rock Park	Lakeville, Connecticut	July 23	Keith McCrone	Daniel Erickson	Cole Morgan	K-Hill Motorsports
10	Lime Rock Park	Lakeville, Connecticut	July 24	Victor Carbone	Daniel Erickson	Victor Carbone	Alegra Motorsports
11	Road America	Elkhart Lake, Wisconsin	August 7	Daniel Erickson	Victor Carbone	Victor Carbone	Alegra Motorsports
12	Road America	Elkhart Lake, Wisconsin	August 8	Jonathan Scarallo	Jonathan Scarallo	Jonathan Scarallo	R-Sport
13	Mid-Ohio Sports Car Course	Lexington, Ohio	September 4	Victor Carbone	Chris Livengood	Chris Livengood	Work Racing
