Date	Opponent	Score	Loss	Record
August 1	Yankees	5 - 1	Byrne (6-2)	58-39
August 2	Yankees	4 - 0	Sturdivant (9-5)	59-39
August 3	Red Sox	7 - 1	Garcia (7-10)	59-40
August 4	Red Sox	6 - 5 (10)	Garcia (7-11)	59-41
August 5	Red Sox	2 - 1 (7)	Lemon (14-9)	59-42
August 6	@ Tigers	9 - 0	Score (11-7)	59-43
August 7	@ Tigers	5 - 2	Lary (10-12)	60-43
August 8	@ White Sox	7 - 6 (14)	McLish (2-4)	60-44
August 9	@ White Sox	9 - 2	Wynn (13-6)	60-45
August 10	@ Athletics	11 - 0	Burnette (2-4)	61-45
August 11	@ Athletics	8 - 5	Crimian (1-6)	62-45
August 12	@ Athletics	6 - 3	Kretlow (4-6)	63-45
August 14	Tigers	6 - 4 (15)	Mossi (5-4)	63-46
August 15	Tigers	1 - 0	Lemon (15-10)	63-47
August 16	Tigers	5 - 4	Hoeft (14-10)	64-47
August 17	Athletics	9 - 3	Aguirre (2-1)	64-48
August 18	Athletics	8 - 1	Kretlow (4-7)	65-48
August 19	Athletics	5 - 2	Burnette (2-6)	66-48
August 19	Athletics	2 - 1	Ditmar (9-16)	67-48
August 21	@ Yankees	3 - 0	Larsen (7-5)	68-48
August 22	@ Yankees	3 - 2	Wynn (14-7)	68-49
August 23	@ Red Sox	2 - 1	Lemon (16-11)	68-50
August 24	@ Red Sox	5 - 3	Brewer (16-7)	69-50
August 25	@ Red Sox	9 - 6	Score (14-8)	69-51
August 26	@ Senators	4 - 1	Stone (4-5)	70-51
August 27	@ Senators	5 - 2	Griggs (1-6)	71-51
August 28	@ Orioles	1 - 0	Aguirre (2-2)	71-52
August 29	@ Orioles	3 - 2	Fornieles (3-7)	72-52
August 31	@ White Sox	3 - 2	Pierce (18-7)	73-52
August 31	@ White Sox	1 - 0 (10)	Wynn (15-8)	73-53
