Date	Series	Circuit	City / State	Winner	Team
1 Feb	ATCC Round 1	Sandown International Raceway	Melbourne , Victoria	Craig Lowndes	Holden Racing Team
8 Feb	ATCC Round 2	Symmons Plains Raceway	Launceston , Tasmania	Mark Skaife	Holden Racing Team
6 – 8 Mar	Super Touring GT-P Race	Albert Park street circuit	Melbourne , Victoria	Cameron McConville	Brad Jones Racing
6 – 8 Mar	TAC V8 Supercar Showdown	Albert Park street circuit	Melbourne , Victoria	Russell Ingall	Castrol Perkins Racing
29 Mar	ATCC Round 3	Lakeside International Raceway	Brisbane , Queensland	Russell Ingall	Castrol Perkins Racing
5 Apr	ASTC Round 1	Calder Park Raceway	Melbourne , Victoria	Cameron McConville	Brad Jones Racing
19 Apr	ATCC Round 4	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	Craig Lowndes	Holden Racing Team
27 Apr	ASTC Round 2	Oran Park Raceway	Sydney , New South Wales	Brad Jones	Brad Jones Racing
3 May	ATCC Round 5	Winton Motor Raceway	Benalla , Victoria	John Bowe	Dick Johnson Racing
17 May	ASTC Round 3	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	Jim Richards	Volvo Cars Australia
24 May	ATCC Round 6	Mallala Motor Sport Park	Adelaide , South Australia	Russell Ingall	Castrol Perkins Racing
31 May	ATCC Round 7	Barbagallo Raceway	Perth , Western Australia	Craig Lowndes	Holden Racing Team
7 Jun	ASTC Round 4	Eastern Creek Raceway	Sydney , New South Wales	Brad Jones	Brad Jones Racing
21 Jun	ATCC Round 8	Calder Park Raceway	Melbourne , Victoria	Craig Lowndes	Holden Racing Team
28 Jun	ASTC Round 5	Lakeside International Raceway	Brisbane , Queensland	Brad Jones	Brad Jones Racing
19 Jul	ATCC Round 9	Hidden Valley Raceway	Darwin , Northern Territory	Russell Ingall	Castrol Perkins Racing
19 Jul	ASTC Round 6	Mallala Motor Sport Park	Adelaide , South Australia	Cameron McConville	Brad Jones Racing
2 Aug	ATCC Round 10	Oran Park Raceway	Sydney , New South Wales	Craig Lowndes	Holden Racing Team
9 Aug	ASTC Round 7	Winton Motor Raceway	Benalla , Victoria	Cameron McConville	Brad Jones Racing
30 Aug	ASTC Round 8	Oran Park Raceway	Sydney , New South Wales	Brad Jones	Brad Jones Racing
13 Sep	Tickford Sandown 500	Sandown International Raceway	Melbourne , Victoria	Russell Ingall Larry Perkins	Castrol Perkins Racing
4 Oct	AMP Bathurst 1000	Mount Panorama Circuit	Bathurst , New South Wales	Rickard Rydell Jim Richards	Tom Walkinshaw Racing Volvo Cars Australia
17 – 18 Oct	Hog's Breath Cafe V8 Supercar Challenge	Surfers Paradise Street Circuit	Surfers Paradise , Queensland	Mark Larkham	Larkham Motor Sport
15 Nov	FAI 1000 Classic	Mount Panorama Circuit	Bathurst , New South Wales	Jason Bright Steven Richards	Stone Brothers Racing
