Year	Result	Award	Category	Film or series	Character
2008	Won	Soaper Star Awards	Best Newcomer	EastEnders	Ronnie Mitchell
2008	Nominated	All About Soap Bubble Awards	Fatal Attraction (with Scott Maslen )	EastEnders	Ronnie Mitchell
2008	Nominated	British Soap Awards	Best On-Screen Partnership (with Rita Simons )	EastEnders	Ronnie Mitchell
2008	Nominated	British Soap Awards	Sexiest Female	EastEnders	Ronnie Mitchell
2008	Won	Digital Spy Soap Awards	Best On-Screen Partnership (with Rita Simons )	EastEnders	Ronnie Mitchell
2009	Nominated	British Soap Awards	Best Actress	EastEnders	Ronnie Mitchell
2009	Shortlisted*	TV Quick and Choice Awards	Best Soap Actress	EastEnders	Ronnie Mitchell
2010	Nominated	All About Soap Bubble Awards	I'm A Survivor	EastEnders	Ronnie Mitchell
2010	Nominated	British Soap Awards	Sexiest Female	EastEnders	Ronnie Mitchell
2010	Shortlisted*	Inside Soap Awards	Sexiest Female	EastEnders	Ronnie Mitchell
2011	Won	All About Soap Bubble Awards	Best Baby Drama (with Jessie Wallace )	EastEnders	Ronnie Mitchell
2011	Nominated*	British Soap Awards	Sexiest Female	EastEnders	Ronnie Mitchell
2012	Nominated	Shorty Awards	Best Actress	n/a	n/a
2012	Nominated	Shorty Awards	Best Fansite	n/a	n/a
