Year	Road Opened	Road Closed	Freight Carried s Tonne	Super B Capacity Reached [ citation needed ]	Number of Truck Loads North
2000	January 29	April 3	111090	n/a	3703
2001	February 1	April 13	245586	~March 3	7981
2002	January 26	April 16	256915	February 22	7735
2003	February 1	April 2	198818	February 21	5243
2004	January 28	March 31	179144	February 23	5091
2005	January 26	April 5	252533	February 20	7607
2006	February 4	March 26	177674	not reached	6841
2007	January 27	April 9	330002	February 26	10922
2008	January 29	April 7	245585	February 15	7387
2009	February 1	March 25	173195	February 15	5377
2010	February 4	March 24	121000	TBA	3506
2011	January 28	March 31	241000	February 17	6831
2012	February 1	March 28	210000	March 1	6545
