Round	Pick #	Overall	Name	Position	College
1	9	9	Rick Bryan	Defensive Tackle	Oklahoma
2	4	32	Scott Case	Defensive Back	Oklahoma
2	8	36	Thomas Benson	Linebacker	Oklahoma
3	7	63	Rod McSwain	Cornerback	Clemson
4	10	94	Rydell Malancon	Linebacker	LSU
5	20	132	Cliff Benson	Tight End	Purdue
6	8	148	Ben Bennett	Quarterback	Duke
6	23	163	Dan Ralph	Defensive Tackle	Oregon
7	7	175	Kirk Dodge	Linebacker	UNLV
8	10	206	Jeff Jackson	Linebacker	Auburn
9	9	233	Glen Howe	Offensive Tackle	Southern Mississippi
10	8	260	Derrick Franklin	Defensive Back	Fresno State
11	7	287	Tommy Norman	Wide Receiver	Jackson State
12	10	318	Don Holmes	Wide Receiver	Mesa State
