Rank	Canton	Highest point	Highest elevation	Lowest point	Lowest elevation
1	Valais	Monte Rosa (Dufourspitze)	m (ft)	Lake Geneva	m (ft)
2	Berne	Finsteraarhorn	m (ft)	Aar river, Solothurn border	m (ft)
3	Graubünden	Piz Bernina	m (ft)	Moesa river, Ticino border	m (ft)
4	Uri	Dammastock	m (ft)	Lake Lucerne	m (ft)
5	Glarus	Tödi	m (ft)	Linth river, St. Gallen border	m (ft)
6	Ticino	Rheinwaldhorn	m (ft)	Lake Maggiore	m (ft)
7	St. Gallen	Ringelspitz	m (ft)	Lake Constance	m (ft)
8	Obwalden	Titlis	m (ft)	Lake Lucerne	m (ft)
9	Vaud	Diablerets	m (ft)	Lake Geneva	m (ft)
10	Nidwalden	Rotstöckli	m (ft)	Lake Lucerne	m (ft)
11	Schwyz	Bös Fulen	m (ft)	Lake Zurich	m (ft)
12	Appenzell Ausserrhoden	Säntis	m (ft)	Lutzenberg	m (ft)
12	Appenzell Innerrhoden	Säntis	m (ft)	Appenzell Ausserrhoden and St. Gallen border	m (ft)
14	Fribourg	Vanil Noir	m (ft)	Lake Neuchâtel	m (ft)
15	Lucerne	Brienzer Rothorn	m (ft)	Reuss River , Zug and Aargau border	m (ft)
16	Zug	Wildspitz	m (ft)	Reuss River , Zurich border	m (ft)
17	Neuchâtel	Chasseral Ouest	m (ft)	Lake Biel	m (ft)
18	Solothurn	Hasenmatt	m (ft)	Birs , Basel-Land border	m (ft)
19	Jura	Mont Raimeux	m (ft)	Allaine river, national border	m (ft)
20	Zurich	Schnebelhorn	m (ft)	Rhine river, national border	m (ft)
21	Basel-Country	Hinteri Egg	m (ft)	Birs river, Basel-Stadt border	m (ft)
22	Thurgau	Hohgrat (Groot)	m (ft)	Thur River , Zurich border	m (ft)
23	Schaffhausen	Hagen (Randen)	m (ft)	Rhine river, Zurich border	m (ft)
24	Aargau	Geissfluegrat	m (ft)	Rhine river, national border	m (ft)
25	Basel-City	St. Chrischona	m (ft)	Rhine river, national border	m (ft)
26	Geneva	Les Arales	m (ft)	Rhone river, national border	m (ft)
